Player,Team,Affiliation,Year,RoundNumber,RoundPick,OverallPick
Victor Wembanyama,San Antonio Spurs,Metropolitans 92 (France),2023,1,1,1
Brandon Miller,Charlotte Hornets,Alabama,2023,1,2,2
Scoot Henderson,Portland Trail Blazers,Ignite (G League),2023,1,3,3
Amen Thompson,Houston Rockets,Overtime Elite,2023,1,4,4
Ausar Thompson,Detroit Pistons,Overtime Elite,2023,1,5,5
Anthony Black,Orlando Magic,Arkansas,2023,1,6,6
Bilal Coulibaly,Indiana Pacers,Metropolitans 92 (France),2023,1,7,7
Jarace Walker,Washington Wizards,Houston,2023,1,8,8
Taylor Hendricks,Utah Jazz,Central Florida,2023,1,9,9
Cason Wallace,Dallas Mavericks,Kentucky,2023,1,10,10
Jett Howard,Orlando Magic,Michigan,2023,1,11,11
Dereck Lively II,Oklahoma City Thunder,Duke,2023,1,12,12
Gradey Dick,Toronto Raptors,Kansas,2023,1,13,13
Jordan Hawkins,New Orleans Pelicans,Connecticut,2023,1,14,14
Kobe Bufkin,Atlanta Hawks,Michigan,2023,1,15,15
Keyonte George,Utah Jazz,Baylor,2023,1,16,16
Jalen Hood-Schifino,Los Angeles Lakers,Indiana,2023,1,17,17
Jaime Jaquez Jr.,Miami Heat,California-Los Angeles,2023,1,18,18
Brandin Podziemski,Golden State Warriors,Santa Clara,2023,1,19,19
Cam Whitmore,Houston Rockets,Villanova,2023,1,20,20
Noah Clowney,Brooklyn Nets,Alabama,2023,1,21,21
Dariq Whitehead,Brooklyn Nets,Duke,2023,1,22,22
Kris Murray,Portland Trail Blazers,Iowa,2023,1,23,23
Olivier-Maxence Prosper,Sacramento Kings,Marquette,2023,1,24,24
Marcus Sasser,Memphis Grizzlies,Houston,2023,1,25,25
Ben Sheppard,Indiana Pacers,Belmont,2023,1,26,26
Nick Smith Jr.,Charlotte Hornets,Arkansas,2023,1,27,27
Brice Sensabaugh,Utah Jazz,Ohio State,2023,1,28,28
Julian Strawther,Indiana Pacers,Gonzaga,2023,1,29,29
Kobe Brown,LA Clippers,Missouri,2023,1,30,30
James Nnaji,Detroit Pistons,FC Barcelona Basquet (Spain),2023,2,1,31
Jalen Pickett,Indiana Pacers,Penn State,2023,2,2,32
Leonard Miller,San Antonio Spurs,Ignite (G League),2023,2,3,33
Colby Jones,Charlotte Hornets,Xavier,2023,2,4,34
Julian Phillips,Boston Celtics,Tennessee,2023,2,5,35
Andre Jackson Jr.,Orlando Magic,Connecticut,2023,2,6,36
Hunter Tyson,Oklahoma City Thunder,Clemson,2023,2,7,37
Jordan Walsh,Sacramento Kings,Arkansas,2023,2,8,38
Mouhamed Gueye,Charlotte Hornets,Washington State,2023,2,9,39
Maxwell Lewis,Denver Nuggets,Pepperdine,2023,2,10,40
Amari Bailey,Charlotte Hornets,California-Los Angeles,2023,2,11,41
Tristan Vukcevic,Washington Wizards,Real Madrid Baloncesto (Spain),2023,2,12,42
Rayan Rupert,Portland Trail Blazers,Breakers (New Zealand),2023,2,13,43
Sidy Cissoko,San Antonio Spurs,Ignite (G League),2023,2,14,44
GG Jackson,Memphis Grizzlies,South Carolina,2023,2,15,45
Seth Lundy,Atlanta Hawks,Penn State,2023,2,16,46
Mojave King,Los Angeles Lakers,Ignite (G League),2023,2,17,47
Jordan Miller,LA Clippers,Miami (FL),2023,2,18,48
Emoni Bates,Cleveland Cavaliers,Eastern Michigan,2023,2,19,49
Keyontae Johnson,Oklahoma City Thunder,Kansas State,2023,2,20,50
Jalen Wilson,Brooklyn Nets,Kansas,2023,2,21,51
Toumani Camara,Phoenix Suns,Dayton,2023,2,22,52
Jaylen Clark,Minnesota Timberwolves,California-Los Angeles,2023,2,23,53
Jalen Slawson,Sacramento Kings,Furman,2023,2,24,54
Isaiah Wong,Indiana Pacers,Miami (FL),2023,2,25,55
Tarik Biberovic,Memphis Grizzlies,Fenerbahce S.K. (Turkey),2023,2,26,56
Trayce Jackson-Davis,Washington Wizards,Indiana,2023,2,27,57
Chris Livingston,Milwaukee Bucks,Kentucky,2023,2,28,58
