#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,Season
5,Giannis Antetokounmpo,MIL,2,26.5,21.5,6,18.5,32.4,0,1.5,0,9.5,12.5,76,1.5,9,10.5,3,1.5,0,3.5,17.5,2022-23
6,Bam Adebayo,MIA,3,24.7,21.3,7.7,13.3,57.5,0.3,1,33.3,5.7,8.3,68,2.3,2,4.3,3,1.7,0.7,1.7,21,2022-23
6,DeMar DeRozan,CHI,3,24.7,21.3,7,12,58.3,0,0.7,0,7.3,7.7,95.7,0.7,3,3.7,4.7,2,0.3,2.3,24.3,2022-23
8,Jabari Smith Jr.,HOU,1,24,21,8,15,53.3,5,8,62.5,0,0,0,1,7,8,2,0,0,2,22,2022-23
8,Trae Young,ATL,4,25.8,21,6.5,14.8,44.1,2.8,6,45.8,5.3,6,87.5,0,1.5,1.5,5.5,0.8,0.3,3.5,16.5,2022-23
10,Keldon Johnson,SAS,2,25.5,20.5,8.5,16,53.1,2,5,40,1.5,2,75,2,2.5,4.5,2.5,1,0,1,19.5,2022-23
11,Dejounte Murray,ATL,3,27.3,20,7.7,14,54.8,1.7,3.7,45.5,3,3.3,90,0.3,5.3,5.7,5.3,0,1.3,1.7,24,2022-23
11,Luka Dončić,DAL,2,24,20,7.5,13,57.7,2.5,7,35.7,2.5,4,62.5,0,3,3,5.5,1.5,1.5,2.5,22,2022-23
13,Bennedict Mathurin,IND,4,23.5,19.8,6.8,14,48.2,0.5,3.3,15.4,5.8,6.8,85.2,1.8,2,3.8,1.3,0.5,0,1.8,15.3,2022-23
13,RJ Barrett,NYK,4,27.5,19.8,6.8,14,48.2,3,6,50,3.3,4,81.3,0.5,5.5,6,2.5,0.3,0.5,1.5,19.5,2022-23
15,Anthony Davis,LAL,3,21.3,19.3,6.7,12.7,52.6,1.3,3.3,40,4.7,6,77.8,1.3,7.7,9,2.7,1,1,1,24.7,2022-23
15,Kyrie Irving,DAL,3,27.3,19.3,6.7,14.7,45.5,3,7,42.9,3,4,75,0.7,3.7,4.3,4,2.3,0.3,1.7,19.7,2022-23
17,Desmond Bane,MEM,4,26.8,19.3,7,14.5,48.3,1.5,6.3,24,3.8,4.3,88.2,0.5,2.8,3.3,2.5,1.5,0.3,2,16.8,2022-23
18,Brandon Ingram,NOP,1,20,19,7,12,58.3,1,2,50,4,5,80,0,1,1,3,1,0,1,17,2022-23
19,Kevin Durant,PHX,4,26.5,18.5,6.5,13.5,48.1,1.8,4.8,36.8,3.8,4.8,78.9,0,3.3,3.3,4.5,1.3,1.3,3.5,17.3,2022-23
19,Norman Powell,LAC,2,21.5,18.5,6,12.5,48,2,5.5,36.4,4.5,4.5,100,1,3,4,1,1.5,0,1,17.5,2022-23
21,Devin Booker,PHX,3,25.3,18.3,5.7,15,37.8,1.7,6.3,26.3,5.3,5.3,100,0.3,2.3,2.7,2.3,1.3,0.7,1.3,14.7,2022-23
21,Jayson Tatum,BOS,3,27,18.3,5.3,14,38.1,1.7,8.3,20,6,6.3,94.7,0.7,7.7,8.3,4.3,0.7,0,3,19.7,2022-23
23,Jalen Brunson,NYK,4,26,17.8,6.3,12.8,49,1.5,3.3,46.2,3.8,4.3,88.2,1.5,2,3.5,4.3,0.8,0.3,1.5,18,2022-23
23,Tari Eason,HOU,4,23.8,17.8,7,11,63.6,1.3,2.8,45.5,2.5,3,83.3,4.5,4.5,9,1.3,1.3,0.3,1.8,23.3,2022-23
25,Darius Garland,CLE,3,25.7,17.3,6,12.7,47.4,2,4.7,42.9,3.3,4.3,76.9,0.7,1.7,2.3,7.7,1.3,0.3,2.7,18.7,2022-23
26,Tyrese Maxey,PHI,4,20,17.3,6,11.5,52.2,2.5,4.5,55.6,2.8,3,91.7,0.3,1,1.3,2,1.5,0,1.3,15,2022-23
27,Christian Wood,DAL,3,22.7,17,5.7,10.7,53.1,2.3,5.7,41.2,3.3,4,83.3,0.7,7.7,8.3,1.3,0.3,0.7,1.7,20.3,2022-23
27,Donovan Mitchell,CLE,3,27,17,5.7,14.7,38.6,3,6.3,47.4,2.7,3.7,72.7,1.7,3.3,5,3.7,0.7,0.3,2.3,14.3,2022-23
27,Karl-Anthony Towns,MIN,2,29.5,17,4.5,11.5,39.1,2,6,33.3,6,6.5,92.3,0.5,7,7.5,6.5,0,0,1,22.5,2022-23
27,Kenneth Lofton Jr.,MEM,1,24,17,6,8,75,1,2,50,4,5,80,2,3,5,3,1,0,4,19,2022-23
27,Klay Thompson,GSW,1,16,17,6,10,60,5,8,62.5,0,0,0,1,2,3,1,0,1,1,17,2022-23
27,Luguentz Dort,OKC,3,18.3,17,6,11,54.5,2,5.7,35.3,3,4.3,69.2,1.7,1.3,3,1.7,0.7,0.3,2,14.3,2022-23
33,Kevin Porter Jr.,HOU,4,24.8,16.8,5.5,11.5,47.8,2.5,4.8,52.6,3.3,4.5,72.2,1.3,4,5.3,4,1.8,0,2.3,18.3,2022-23
34,Devin Vassell,SAS,4,23.8,16.5,6,13.8,43.6,1.5,6,25,3,3.3,92.3,0.5,2.3,2.8,2,0.5,0,1,12.8,2022-23
34,Joshua Primo,SAS,2,21,16.5,5.5,9.5,57.9,1,3,33.3,4.5,4.5,100,0,1.5,1.5,2,0,0.5,4,12.5,2022-23
34,Lauri Markkanen,UTA,4,25.3,16.5,6,11.8,51.1,1,4.8,21.1,3.5,4.3,82.4,1.8,5,6.8,1.3,0.5,0,1.3,17.3,2022-23
37,Saddiq Bey,ATL,4,27,16.3,4.8,13,36.5,2,6.8,29.6,4.8,5.3,90.5,0.5,5,5.5,1.8,0.8,0.3,2,13.8,2022-23
38,Bones Hyland,LAC,4,18.5,16,5,11,45.5,1.8,5,35,4.3,4.8,89.5,0.8,3,3.8,2.5,0.8,0.8,1.8,15.5,2022-23
38,Deandre Ayton,PHX,3,25,16,7.7,12.7,60.5,0,0.3,0,0.7,2,33.3,2,6.3,8.3,1.3,1.7,0.7,0.7,21,2022-23
38,Keegan Murray,SAC,2,21.5,16,6,8.5,70.6,3.5,5,70,0.5,1,50,0.5,4,4.5,1,2,0.5,1,20,2022-23
38,Tre Mann,OKC,5,23.6,16,5.8,11.8,49.2,3.8,7.2,52.8,0.6,0.6,100,0.2,0.8,1,3,0.6,0.6,1.4,13.8,2022-23
42,Terry Rozier,CHA,5,27.2,15.8,5.2,11.8,44.1,1.8,5.4,33.3,3.6,4.2,85.7,0.6,2.8,3.4,3.4,1,0.4,1.6,15.2,2022-23
43,Joel Embiid,PHI,2,20.5,15.5,7,15,46.7,0,2.5,0,1.5,2,75,0,6,6,1.5,0,0.5,0.5,14.5,2022-23
43,LeBron James,LAL,4,19,15.5,5.3,10.8,48.8,1.3,4,31.3,3.8,4.8,78.9,0.8,4.3,5,2.3,0.8,0,1.5,15.5,2022-23
45,Stephen Curry,GSW,4,20.3,15.3,5.3,12.8,41.2,1.8,7.3,24.1,3,3,100,0,3.5,3.5,3.3,0,0.3,3,11.8,2022-23
46,Damian Lillard,POR,3,25,15,4.3,11,39.4,2,6,33.3,4.3,4.7,92.9,0.3,2.3,2.7,4.7,0.7,0.3,2.7,13.7,2022-23
46,De'Aaron Fox,SAC,4,21,15,5.3,12,43.8,1.3,3.5,35.7,3.3,5.3,61.9,0.8,1.5,2.3,2.5,1,0.3,2.5,9.8,2022-23
46,Javonte Green,CHI,4,19.3,15,5,7,71.4,1.5,2.3,66.7,3.5,4,87.5,1,4,5,0.8,0.5,0.3,1.5,17.5,2022-23
46,Kristaps Porziņģis,WAS,3,19.7,15,4.3,9.7,44.8,1.7,4.7,35.7,4.7,5,93.3,0.3,4,4.3,2,2,1,1,17.7,2022-23
46,Trey Murphy III,NOP,4,24.8,15,5.5,10.3,53.7,3.5,6.3,56,0.5,0.5,100,1.3,3.3,4.5,1.8,0.8,0.8,1.3,16.8,2022-23
51,James Wiseman,DET,5,19,14.8,5.6,8.4,66.7,0.2,0.4,50,3.4,5.6,60.7,1.6,4.6,6.2,1.4,0,0.8,2.4,15.8,2022-23
52,Nikola Vučević,CHI,4,24.3,14.8,6.3,9.3,67.6,1.8,3.5,50,0.5,1,50,2,7.5,9.5,3.3,1.3,1,2,24.3,2022-23
52,Rui Hachimura,LAL,4,26.5,14.8,5.5,11.3,48.9,0.5,3.5,14.3,3.3,4.8,68.4,0.3,7.3,7.5,1,0.8,0,1.5,15.3,2022-23
54,De'Andre Hunter,ATL,4,21,14.5,5.3,9,58.3,1.3,2.8,45.5,2.8,3.5,78.6,0.5,3,3.5,1,0.5,0,0.8,14.3,2022-23
54,Derrick White,BOS,4,23,14.5,4.5,7.3,62.1,2.5,4.5,55.6,3,3.5,85.7,0.3,3.3,3.5,3,0.5,0.8,1,18,2022-23
54,LaMelo Ball,CHA,4,25.5,14.5,5,16,31.3,1.3,5.5,22.7,3.3,4,81.3,1.8,3.5,5.3,5.8,1.3,0.3,3.3,12,2022-23
57,Jalen Williams,OKC,5,26.4,14.4,5,8.2,61,0.4,1.8,22.2,4,5.2,76.9,0.4,2.6,3,5.2,1.8,0,2.6,17.4,2022-23
58,Duane Washington Jr.,NYK,3,21.7,14.3,4.3,11.3,38.2,1,3.7,27.3,4.7,5,93.3,0.3,1,1.3,4,1,0,4,9.3,2022-23
59,Josh Giddey,OKC,5,22.6,14.2,5.6,10.6,52.8,1.6,3,53.3,1.4,2.2,63.6,1.2,4.8,6,6.6,1.4,0.6,3,20,2022-23
60,Michael Devoe,LAC,1,17,14,4,5,80,2,3,66.7,4,6,66.7,0,3,3,3,0,0,1,16,2022-23
60,Michael Porter Jr.,DEN,5,19.4,14,5.2,10.4,50,2.6,5.4,48.1,1,1.2,83.3,1,3,4,1,1,0.2,1.2,13.6,2022-23
60,Paolo Banchero,ORL,5,24.2,14,4.6,10.2,45.1,0.6,2.2,27.3,4.2,4.4,95.5,1.2,4,5.2,1.8,1.2,0.2,2.2,14.4,2022-23
60,Pascal Siakam,TOR,4,23.3,14,5.5,13,42.3,0.8,4,18.8,2.3,4.5,50,1.8,4.5,6.3,1.3,1.5,0.5,2.3,11.5,2022-23
60,Tim Hardaway Jr.,DAL,2,19.5,14,3.5,6.5,53.8,2.5,5,50,4.5,6.5,69.2,0,2.5,2.5,1.5,0.5,0,0.5,13,2022-23
65,Jusuf Nurkić,POR,4,20.5,13.8,4,8,50,0,1.3,0,5.8,7.5,76.7,1.3,5,6.3,1.3,0,0.3,2.8,13,2022-23
66,Anthony Edwards,MIN,5,26.2,13.6,5.4,13.6,39.7,1.4,4.4,31.8,1.4,1.6,87.5,0.2,4,4.2,3.2,1,0.6,1.4,12.8,2022-23
67,D'Angelo Russell,LAL,4,23.5,13.5,5.3,11,47.7,1.8,4.8,36.8,1.3,2,62.5,0.3,2.3,2.5,5.3,1.8,0.3,3.5,13.3,2022-23
67,Eric Gordon,LAC,2,16.5,13.5,4.5,7.5,60,2.5,5,50,2,2,100,0,1,1,1.5,0,0,0.5,12.5,2022-23
67,Landry Shamet,PHX,2,22,13.5,4,9.5,42.1,3,5.5,54.5,2.5,3.5,71.4,0.5,0.5,1,2,1.5,0,2,9.5,2022-23
70,Mikal Bridges,BKN,3,23.3,13.3,4.7,10,46.7,2,4,50,2,2.3,85.7,0.3,4.3,4.7,2,1.7,0.7,0.7,16,2022-23
71,Jerami Grant,POR,4,23.5,13.3,4.5,9.5,47.4,2,3.8,53.3,2.3,2.5,90,0.5,2.3,2.8,1.3,1.3,1.8,2,13,2022-23
71,Jock Landale,PHX,4,22.3,13.3,5,10.3,48.8,1.3,4.5,27.8,2,2.5,80,2.8,4,6.8,1.5,1.3,1.5,1.8,16.8,2022-23
71,Julius Randle,NYK,4,23.5,13.3,4.5,10.5,42.9,1.5,5.5,27.3,2.8,3.5,78.6,0.3,6.5,6.8,4.3,0.8,0.3,0.8,17.8,2022-23
71,Willy Hernangomez,NOP,4,18.5,13.3,5.3,8.5,61.8,0.3,0.8,33.3,2.5,3.3,76.9,2,5.8,7.8,0.8,0.8,0.8,2.3,17,2022-23
75,Naz Reid,MIN,5,20.2,13.2,5.4,9.4,57.4,1.4,3.6,38.9,1,1.8,55.6,1.6,6.4,8,1.2,0.2,1,1.6,17.2,2022-23
76,Franz Wagner,ORL,3,24.3,13,4.3,10,43.3,1.3,5.3,25,3,3,100,1,4.3,5.3,5,1.3,0,1.7,17.3,2022-23
76,Kevin Knox II,POR,1,18,13,4,9,44.4,3,6,50,2,2,100,0,2,2,1,0,0,0,11,2022-23
78,Jordan Nwora,IND,5,23.6,12.8,4.4,9.8,44.9,1.6,4.8,33.3,2.4,2.8,85.7,1.2,3.6,4.8,2.2,0.8,0.2,2.2,12.8,2022-23
78,OG Anunoby,TOR,5,23.6,12.8,4.8,9.4,51.1,1,3.2,31.3,2.2,2.6,84.6,0.8,2.2,3,0.6,0.6,1,1.4,11.6,2022-23
80,Kendrick Nunn,WAS,5,19.4,12.6,4.8,10,48,2.2,5.4,40.7,0.8,1,80,0,3,3,2.4,0,0,2.4,10.2,2022-23
81,Anfernee Simons,POR,4,25.3,12.5,3.8,11,34.1,2.5,6.8,37,2.5,3,83.3,0,1.5,1.5,2.5,0.3,0,1,8,2022-23
81,Bradley Beal,WAS,2,24,12.5,5,10.5,47.6,1,5,20,1.5,2.5,60,2,1.5,3.5,4,2.5,0,2,14,2022-23
81,Tyrese Haliburton,IND,2,23.5,12.5,4,9,44.4,1.5,4.5,33.3,3,3,100,0,1.5,1.5,6.5,0,0.5,2,14,2022-23
84,Duncan Robinson,MIA,5,21.2,12.4,3.4,9,37.8,2.2,6.4,34.4,3.4,3.6,94.4,0,2.8,2.8,2,0.4,0.2,1,11,2022-23
84,Naji Marshall,NOP,5,21,12.4,4.6,8.8,52.3,1,3,33.3,2.2,2.8,78.6,0.6,3.6,4.2,2.6,0.2,0.2,1.2,13.6,2022-23
86,James Harden,PHI,3,23.3,12.3,4,10.7,37.5,2.3,5,46.7,2,2.3,85.7,0.7,2.7,3.3,4.7,0.3,0,1.7,12,2022-23
86,Montrezl Harrell,PHI,3,14.7,12.3,4.3,6.7,65,0,0,0,3.7,4.7,78.6,2.3,2.3,4.7,1.7,0,1,0.7,15.7,2022-23
88,Jordan Clarkson,UTA,4,23.3,12.3,4.3,11.5,37,2,6.3,32,1.8,2,87.5,0.8,2.3,3,3.8,0.3,0,2.8,9,2022-23
88,Jrue Holiday,MIL,4,23,12.3,4.8,10.5,45.2,1.8,4.3,41.2,1,1.3,80,1.3,2.8,4,4.5,0.8,0.3,2.8,13,2022-23
90,Cole Anthony,ORL,5,24.6,12.2,3.6,9.6,37.5,1.2,4.4,27.3,3.8,4,95,0,2.6,2.6,1.8,1,0,2.4,9,2022-23
90,Santi Aldama,MEM,5,25.2,12.2,4.6,8,57.5,1.2,3,40,1.8,2.2,81.8,2,5.2,7.2,1.8,0.4,1.2,1.4,17.6,2022-23
92,Dario Šarić,OKC,1,16,12,4,7,57.1,1,3,33.3,3,4,75,1,3,4,0,1,0,1,12,2022-23
92,Immanuel Quickley,NYK,4,21,12,4.3,12.5,34,1.5,4.8,31.6,2,2.8,72.7,0.5,3.5,4,3,1.3,0,1,10.3,2022-23
92,Jaden Ivey,DET,4,26.8,12,3.8,11,34.1,0.5,3.5,14.3,4,4.5,88.9,1,2,3,4,0.8,0.5,3.5,9,2022-23
92,Jonas Valančiūnas,NOP,4,18.8,12,4,8,50,0.5,1.8,28.6,3.5,4,87.5,1.8,4,5.8,3,0,0.5,1.3,15.5,2022-23
92,Kelly Oubre Jr.,CHA,4,20.8,12,4.3,11,38.6,1.8,6,29.2,1.8,2.3,77.8,0.8,3.8,4.5,0.3,1.3,0.5,1,10.3,2022-23
92,Killian Hayes,DET,3,24.7,12,4.7,11,42.4,1.7,5,33.3,1,3,33.3,0,3,3,6,0.7,1,2.7,11.7,2022-23
92,Lonnie Walker IV,LAL,3,21.3,12,4.7,12,38.9,1.7,5.3,31.3,1,1.3,75,0.3,2.3,2.7,2.7,0.3,0.7,1,9.7,2022-23
92,Marcus Morris Sr.,LAC,3,17.3,12,4.3,8,54.2,2.7,4,66.7,0.7,0.7,100,0.3,2.7,3,1.3,0,0,0.7,12,2022-23
92,Sam Hauser,BOS,4,23,12,4.3,8.3,51.5,3.3,6.8,48.1,0.3,0.3,100,1,3.5,4.5,2,0.3,0.3,0.5,14.5,2022-23
101,Eugene Omoruyi,DET,6,17.2,11.8,4.7,7.8,59.6,1,2.3,42.9,1.5,1.5,100,1.8,2.2,4,0.7,0.8,0.2,1.5,12.8,2022-23
102,Shaedon Sharpe,POR,5,21,11.8,4.4,10,44,0.6,2.8,21.4,2.4,2.8,85.7,1,1.6,2.6,0.6,0.8,1,1.6,9.2,2022-23
103,Aaron Gordon,DEN,4,18.8,11.8,4.5,8.3,54.5,0.5,1,50,2.3,2.8,81.8,2.3,4,6.3,2.3,1,0.5,1.3,16.3,2022-23
103,Max Strus,MIA,4,22.5,11.8,3.8,10.5,35.7,2.3,6.8,33.3,2,2,100,0.5,2,2.5,2.8,1,0.3,2.3,9.3,2022-23
105,Caris LeVert,CLE,3,21.7,11.7,4.3,8.7,50,1.7,4,41.7,1.3,2,66.7,0.3,2.3,2.7,3,1.3,0.7,1,13.3,2022-23
105,Grayson Allen,MIL,3,19,11.7,4.3,9,48.1,1.7,4,41.7,1.3,1.3,100,1.3,3,4.3,1.3,0.3,0,1,12,2022-23
105,Nathan Knight,MIN,3,13.3,11.7,3.7,5.7,64.7,0.3,1.3,25,4,5.7,70.6,1.3,2.7,4,1,0.7,0,1,12.7,2022-23
108,Jaylen Nowell,MIN,5,19.8,11.6,4.2,9.2,45.7,0.8,3.6,22.2,2.4,3.2,75,0,3,3,1,0.6,0.2,0.8,9.8,2022-23
109,Buddy Hield,IND,4,20.3,11.5,4.3,9.3,45.9,2.3,5.5,40.9,0.8,1.3,60,0.8,2.8,3.5,2,1.5,0,1.5,11.5,2022-23
109,Cameron Payne,PHX,2,13.5,11.5,4,9.5,42.1,0.5,2.5,20,3,3,100,0,1,1,2,1,0,1,9,2022-23
109,Chris Duarte,IND,4,22.3,11.5,4.5,8.8,51.4,1.3,4,31.3,1.3,1.8,71.4,0.3,4,4.3,2.3,0,0.5,1.8,12,2022-23
109,Josh Christopher,HOU,4,20.8,11.5,4.8,10.8,44.2,1.5,4,37.5,0.5,1,50,0.3,4,4.3,2.8,0.8,0.3,3,10,2022-23
109,Obi Toppin,NYK,4,20.8,11.5,5.3,9.8,53.8,1,4.3,23.5,0,0,0,0.8,3,3.8,1.3,0.8,0.8,0.3,13.3,2022-23
114,Precious Achiuwa,TOR,5,22.2,11.4,3.6,10.8,33.3,0.6,4,15,3.6,5,72,1,5.4,6.4,1.4,0.2,0,0.8,10,2022-23
115,Gary Trent Jr.,TOR,4,24.5,11.3,4,7.8,51.6,1,3.3,30.8,2.3,2.5,90,0.3,2.3,2.5,1.5,1.5,0,0.8,12,2022-23
115,Zion Williamson,NOP,4,17.8,11.3,3.8,7.5,50,0.3,0.3,100,3.5,6.3,56,0.8,3.3,4,2.8,0.5,0.3,1.8,10.5,2022-23
117,Aaron Holiday,ATL,3,23.3,11,4.3,8,54.2,1.7,2.3,71.4,0.7,0.7,100,0.3,4,4.3,2.3,1.3,0,1.7,13.7,2022-23
117,Bobby Portis,MIL,4,22.3,11,4.5,11,40.9,1,3.5,28.6,1,1.5,66.7,0.8,4.8,5.5,1.3,0.8,0,1,10.5,2022-23
117,Dalano Banton,TOR,5,16.4,11,4.4,8.4,52.4,0,1.2,0,2.2,3,73.3,1.2,2.2,3.4,2,0.8,0.2,1,11.6,2022-23
117,Gordon Hayward,CHA,2,18,11,4.5,8,56.3,1,2,50,1,2,50,0,4,4,1.5,1,1.5,2,12.5,2022-23
117,Ish Smith,DEN,5,19.4,11,5,8.2,61,0.2,0.6,33.3,0.8,1.6,50,0.2,1.8,2,5.2,0.2,0.4,2.6,12.2,2022-23
117,Jalen Johnson,ATL,2,27,11,3.5,8,43.8,1.5,3.5,42.9,2.5,4.5,55.6,1.5,9,10.5,2.5,0,1,0.5,18,2022-23
117,John Wall,LAC,3,14.3,11,3,6.3,47.4,0.7,1.7,40,4.3,4.3,100,0,1.7,1.7,3.3,0,0,2.3,10.3,2022-23
117,Mitchell Robinson,NYK,4,22.3,11,4.8,6.3,76,0,0,0,1.5,2,75,5,3.3,8.3,0,1,2.3,0.8,19.8,2022-23
117,Omer Yurtseven,MIA,1,27,11,5,12,41.7,1,3,33.3,0,0,0,4,5,9,1,0,0,2,12,2022-23
117,Ousmane Dieng,OKC,5,24.6,11,4.4,7.6,57.9,1.6,3.4,47.1,0.6,0.8,75,0.8,2.4,3.2,1.4,0.6,0.2,2,11,2022-23
117,Patrick Williams,CHI,4,22.3,11,4,9.5,42.1,1,3,33.3,2,2.5,80,1.5,2.3,3.8,1.5,0.3,0.3,1.3,9.5,2022-23
117,Terence Davis,SAC,4,14.8,11,3.8,8.3,45.5,2.3,4.5,50,1.3,1.5,83.3,0.3,2.5,2.8,1.5,1,0.5,1,11,2022-23
117,Wendell Carter Jr.,ORL,5,23.8,11,4,9.2,43.5,1,3.2,31.3,2,2.6,76.9,0.8,6.4,7.2,3.8,0.2,0.4,1.8,15,2022-23
130,Dillon Brooks,MEM,4,25.3,10.8,3.5,10.8,32.6,1.5,5.5,27.3,2.3,3.3,69.2,0.5,2.5,3,2.3,0.5,0.5,2.3,6.5,2022-23
130,Isaiah Stewart,DET,4,25.3,10.8,4,7.8,51.6,1.8,4.5,38.9,1,1.3,80,1.5,4.5,6,0.3,0.5,1.8,1.3,14,2022-23
130,KJ Martin,HOU,4,28,10.8,4,7.8,51.6,1.8,4,43.8,1,1.8,57.1,1.3,3.5,4.8,2.8,1.3,1,1.3,14.8,2022-23
133,Jarrett Allen,CLE,3,25.3,10.7,4.3,9,48.1,0,0,0,2,2.3,85.7,1.3,4,5.3,1.3,0,2,0.7,13.7,2022-23
133,Ziaire Williams,MEM,3,23,10.7,3,7,42.9,1.7,4,41.7,3,3.3,90,0,3.7,3.7,2.3,0.7,0.3,0.7,12.7,2022-23
135,Jamal Cain,MIA,5,21,10.6,3.8,7.4,51.4,1,2.6,38.5,2,2.4,83.3,2.4,3,5.4,1.4,1.4,0.2,0.4,14.6,2022-23
135,Jevon Carter,MIL,5,22,10.6,3.6,7.6,47.4,2.4,4.6,52.2,1,1,100,0.2,1.4,1.6,3.6,0.6,0.2,1.4,11.2,2022-23
135,Jose Alvarado,NOP,5,20.8,10.6,4.6,9,51.1,0.8,3,26.7,0.6,0.8,75,0.6,3.2,3.8,3.6,1.6,0.2,1.6,13.6,2022-23
135,Terrence Ross,PHX,5,19.8,10.6,3.8,7,54.3,1.6,3.6,44.4,1.4,1.8,77.8,0.2,1.8,2,0.4,0.6,0.6,0.6,10,2022-23
139,Cade Cunningham,DET,4,26.3,10.5,3.8,12.3,30.6,1.3,5.8,21.7,1.8,2,87.5,1.5,3.5,5,4.8,1,0.5,3.5,9.5,2022-23
139,Caleb Martin,MIA,2,23.5,10.5,4,7.5,53.3,1.5,3.5,42.9,1,1,100,0,4.5,4.5,2,0,1.5,0.5,14.5,2022-23
139,Cam Thomas,BKN,4,18.8,10.5,3.5,8.8,40,0.5,1.5,33.3,3,3.3,92.3,0.8,1.8,2.5,1.3,0.3,0.8,2.3,7.5,2022-23
139,Isaac Okoro,CLE,4,23.3,10.5,4,6,66.7,0.8,1.8,42.9,1.8,1.8,100,0.8,2.5,3.3,1.3,1,0.5,1,13.5,2022-23
139,Moses Moody,GSW,4,22.5,10.5,3.8,8.5,44.1,1.8,4.3,41.2,1.3,1.5,83.3,0.3,0.8,1,1.5,1,0.3,0.5,8.8,2022-23
139,Rudy Gobert,MIN,2,23.5,10.5,4,5,80,0,0,0,2.5,6,41.7,1.5,8.5,10,2.5,3,0,1.5,20,2022-23
145,Brandon Clarke,MEM,5,19.2,10.4,3.8,7,54.3,0,0.4,0,2.8,3.4,82.4,1.6,3.6,5.2,2,0.8,0.4,0.8,14.2,2022-23
145,Doug McDermott,SAS,5,17.4,10.4,3.2,7.6,42.1,1.6,4,40,2.4,2.6,92.3,0.4,1.4,1.8,1.4,0.4,0,1.6,7.8,2022-23
147,Will Barton,TOR,3,23.7,10.3,3.3,9,37,2,6.7,30,1.7,3,55.6,0.3,1,1.3,4,0.7,0.3,1,8.7,2022-23
148,Ayo Dosunmu,CHI,4,24.5,10.3,3.5,6.8,51.9,1.5,2.8,54.5,1.8,2,87.5,0,3.3,3.3,2.8,0.3,0.8,1.8,12,2022-23
149,Darius Bazley,PHX,5,22.4,10.2,3.6,7.4,48.6,0.2,1.6,12.5,2.8,4.2,66.7,1.4,5,6.4,1.8,0,1.8,1.4,13.6,2022-23
150,John Collins,ATL,4,20.5,10,4.3,7.5,56.7,1,2.3,44.4,0.5,1.3,40,0.5,2.8,3.3,0.3,0.3,0,0.3,9.5,2022-23
150,Jonathan Kuminga,GSW,5,26.2,10,3,6.2,48.4,0.6,2.2,27.3,3.4,4,85,1.6,2.8,4.4,2.8,0.6,0,2.6,11.4,2022-23
150,Jordan Poole,GSW,4,21,10,3.8,11.5,32.6,1,5.5,18.2,1.5,1.8,85.7,0.5,2.3,2.8,2.3,1.3,0.8,1.8,7.3,2022-23
150,Mike Conley,MIN,3,22.3,10,3.3,7,47.6,2,4,50,1.3,1.7,80,0,2,2,4,0.7,0,0.7,12,2022-23
150,Myles Turner,IND,4,20,10,2.8,6.5,42.3,0.3,2,12.5,4.3,4.5,94.4,1.8,3.5,5.3,2.5,0,2,1.5,14.3,2022-23
150,Scottie Barnes,TOR,5,24,10,3.6,8.4,42.9,0.4,1.8,22.2,2.4,4.2,57.1,1.4,4,5.4,2.8,0.6,0.6,2.6,10.2,2022-23
150,Tre Jones,SAS,5,21.4,10,3.6,7,51.4,0.8,2,40,2,2.6,76.9,1,3,4,3,1.2,0.2,1.2,13.2,2022-23
157,Nikola Jović,MIA,5,16,9.8,3,7.4,40.5,1.8,5.2,34.6,2,2.8,71.4,0.8,4.6,5.4,3,1,0.6,1,13.6,2022-23
158,Jeff Green,DEN,4,19.5,9.8,3.5,7.3,48.3,1,3.5,28.6,1.8,2,87.5,0,2,2,2.5,0.3,0.8,0.5,10.8,2022-23
158,Luke Kennard,MEM,4,14,9.8,3.5,4.5,77.8,2.3,2.8,81.8,0.5,0.8,66.7,0.3,1.5,1.8,0.8,0.3,0,0.8,10.5,2022-23
160,Jaden Hardy,DAL,3,16.3,9.7,3.7,9.7,37.9,1.7,5,33.3,0.7,1.3,50,0,1.3,1.3,1,0.3,0,2,3.7,2022-23
160,Kevin Huerter,SAC,3,18.7,9.7,3,6,50,2.3,4.3,53.8,1.3,1.7,80,0.7,2.3,3,2.7,0.7,0.3,2,11,2022-23
160,P.J. Washington,CHA,3,24.3,9.7,3.7,10,36.7,1.3,5.7,23.5,1,1.7,60,0.7,2,2.7,1.3,2,0.3,0.7,8.3,2022-23
163,Bryn Forbes,MIN,5,16.8,9.6,3.2,6.6,48.5,2,4,50,1.2,1.6,75,0,1.6,1.6,0.2,0.4,0.2,0.6,7.6,2022-23
163,Devonte' Graham,SAS,5,20,9.6,2.6,6.8,38.2,1.8,5.4,33.3,2.6,2.8,92.9,0.4,1.4,1.8,3.2,1,0.2,0.8,10.6,2022-23
165,Day'Ron Sharpe,BKN,4,18.5,9.5,3.5,6.3,56,0,0.5,0,2.5,3.8,66.7,2.3,5,7.3,0.8,1.8,0.8,1.5,14.5,2022-23
165,Dean Wade,CLE,2,23,9.5,3,7,42.9,2,4,50,1.5,1.5,100,0.5,5.5,6,0.5,0.5,0,0.5,12,2022-23
