#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,Season
213,Ziaire Williams,MEM,5,22.8,8.2,2.6,8,32.5,0.6,3.2,18.8,2.4,3,80,1,1.6,2.6,1.6,1,0.2,1.6,6,2021-21
214,A.J. Lawson,ATL,1,7,8,2,3,66.7,2,2,100,2,2,100,0,2,2,0,0,0,1,8,2021-21
214,Alize Johnson,NOP,4,13.5,8,3,4,75,0,0.3,0,2,2.3,88.9,2.8,6.3,9,2.3,1,0.3,0.8,18.5,2021-21
214,Amir Coffey,LAC,4,22.5,8,2.8,7.5,36.7,0.8,3.5,21.4,1.8,2.3,77.8,0.5,2.5,3,1.8,1.3,0.5,1.5,7.8,2021-21
214,Cody Zeller,POR,1,13,8,3,3,100,0,0,0,2,2,100,2,5,7,0,0,0,2,13,2021-21
214,Darius Bazley,OKC,3,22.7,8,2.7,5.7,47.1,1.3,3.3,40,1.3,3,44.4,0.7,5,5.7,1.3,1.7,0.3,1,11.3,2021-21
214,DeAndre Jordan,PHI,5,18,8,3.2,4,80,0,0,0,1.6,2.6,61.5,1,6.2,7.2,0.8,0.6,1.2,0.6,15.4,2021-21
214,Goran Dragic,BKN,4,18.5,8,2.5,6.8,37,1.8,3.5,50,1.3,1.3,100,0.8,1.5,2.3,1.3,0.5,0.3,1.5,6.5,2021-21
214,Isaiah Roby,OKC,3,14.3,8,3,6,50,0.7,2,33.3,1.3,1.3,100,0.3,2,2.3,1,0.7,0.3,0.3,9,2021-21
214,JaMychal Green,DEN,3,16.3,8,2.7,7,38.1,0.7,4.3,15.4,2,2,100,1.7,4.3,6,1.3,0.7,0.3,1.7,10.3,2021-21
214,Jaxson Hayes,NOP,1,20,8,4,8,50,0,1,0,0,0,0,1,4,5,0,0,2,2,9,2021-21
214,Jeff Green,DEN,4,15.5,8,2.5,5,50,1,2.3,44.4,2,2.8,72.7,0.5,1,1.5,0.8,0.5,0.5,1.8,6.3,2021-21
214,Justin Holiday,SAC,2,14.5,8,3,5.5,54.5,2,3,66.7,0,0,0,0,1,1,0,0,0,0.5,6,2021-21
214,Mikal Bridges,PHX,4,20.3,8,3.3,8.8,37.1,1,2.8,36.4,0.5,0.5,100,0.3,3,3.3,1.8,0.5,0.8,0.8,8,2021-21
214,Theo Pinson,DAL,2,16.5,8,2.5,7,35.7,0,3,0,3,4,75,0,2.5,2.5,2.5,0.5,0,0.5,7.5,2021-21
214,Tre Mann,OKC,4,17.8,8,2.8,7.8,35.5,0.8,3.3,23.1,1.8,2,87.5,1.3,2,3.3,1.3,1,0,2.5,5.8,2021-21
229,Lonnie Walker IV,SAS,5,20.8,7.8,3.2,9.2,34.8,1,4.4,22.7,0.4,1,40,0,1.8,1.8,2.4,0.6,0.2,1,5.2,2021-21
229,Tyus Jones,MEM,5,19.4,7.8,2.8,6,46.7,1.2,3.4,35.3,1,1,100,0.4,2.6,3,2.4,1,0.2,1,10.2,2021-21
231,Cody Martin,CHA,4,25.3,7.8,3.3,6,54.2,1.3,3,41.7,0,0.5,0,1,3.8,4.8,2.3,1.8,0.8,2.3,11.8,2021-21
231,Cory Joseph,DET,4,19.8,7.8,3.8,6.8,55.6,0.3,0.8,33.3,0,0,0,0,2,2,3.5,0,0,2.3,8,2021-21
