#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
394,Isaac Okoro,CLE,3,18.0,4.3,1.7,5.3,31.3,0.7,2.3,28.6,0.3,1.3,25.0,0.3,1.0,1.3,1.3,1.0,0.0,0.7, 2.7
394,Mike Conley,MIN,3,13.0,4.3,1.7,4.3,38.5,1.0,3.3,30.0,0.0,0.0,0.0,0.3,1.3,1.7,1.7,0.0,0.0,0.7, 4.3
396,Armel Traore,LAL,4,13.0,4.3,1.8,4.0,43.8,0.0,1.3,0.0,0.8,1.3,60.0,1.3,3.0,4.3,0.3,0.5,0.8,0.8, 6.5
396,Jules Bernard,CLE,4,8.5,4.3,1.3,4.5,27.8,0.8,3.0,25.0,1.0,1.0,100,0.3,1.0,1.3,0.3,0.0,0.0,0.8, 1.8
396,MarJon Beauchamp,MIL,4,13.0,4.3,1.8,4.5,38.9,0.0,1.0,0.0,0.8,1.3,60.0,0.5,1.0,1.5,1.5,1.0,0.8,0.8, 5.0
396,Vasilije Micić,CHA,4,14.8,4.3,1.8,4.3,41.2,0.3,1.5,16.7,0.5,0.5,100,0.0,1.8,1.8,3.0,0.0,0.0,3.5, 3.0
400,Chris Duarte,CHI,5,11.0,4.2,1.4,4.8,29.2,0.8,3.4,23.5,0.6,0.8,75.0,0.2,1.8,2.0,0.8,0.4,0.8,1.4, 3.2
400,Hunter Tyson,DEN,5,18.2,4.2,1.4,5.0,28.0,0.6,3.2,18.8,0.8,1.6,50.0,1.8,3.0,4.8,1.2,0.2,0.0,0.8, 5.2
400,Tristan Vukcevic,WAS,5,7.0,4.2,1.6,2.8,57.1,0.2,1.0,20.0,0.8,1.0,80.0,0.0,0.8,0.8,0.2,0.0,0.4,0.6, 3.6
403,Bronny James,LAL,6,16.2,4.2,1.8,6.2,29.7,0.2,2.0,8.3,0.3,0.7,50.0,0.5,1.2,1.7,0.3,0.5,0.8,1.2, 1.7
404,A.J. Lawson,DAL,3,11.7,4.0,1.3,3.0,44.4,0.3,1.3,25.0,1.0,1.7,60.0,0.0,2.0,2.0,1.0,0.0,0.0,0.3, 4.3
