Player,Team,Affiliation,Year,RoundNumber,RoundPick,OverallPick
Paolo Banchero,Orlando Magic,Duke,2022,1,1,1
Chet Holmgren,Oklahoma City Thunder,Gonzaga,2022,1,2,2
Jabari Smith Jr.,Houston Rockets,Auburn,2022,1,3,3
Keegan Murray,Sacramento Kings,Iowa,2022,1,4,4
Jaden Ivey,Detroit Pistons,Purdue,2022,1,5,5
Bennedict Mathurin,Indiana Pacers,Arizona,2022,1,6,6
Shaedon Sharpe,Portland Trail Blazers,Kentucky,2022,1,7,7
Dyson Daniels,New Orleans Pelicans,Ignite (G League),2022,1,8,8
Jeremy Sochan,San Antonio Spurs,Baylor,2022,1,9,9
Johnny Davis,Washington Wizards,Wisconsin,2022,1,10,10
Ousmane Dieng,New York Knicks,Breakers (New Zealand),2022,1,11,11
Jalen Williams,Oklahoma City Thunder,Santa Clara,2022,1,12,12
Jalen Duren,Charlotte Hornets,Memphis,2022,1,13,13
Ochai Agbaji,Cleveland Cavaliers,Kansas,2022,1,14,14
Mark Williams,Charlotte Hornets,Duke,2022,1,15,15
AJ Griffin,Atlanta Hawks,Duke,2022,1,16,16
Tari Eason,Houston Rockets,Louisiana State,2022,1,17,17
Dalen Terry,Chicago Bulls,Arizona State,2022,1,18,18
Jake LaRavia,Minnesota Timberwolves,Wake Forest,2022,1,19,19
Malaki Branham,San Antonio Spurs,Ohio State,2022,1,20,20
Christian Braun,Denver Nuggets,Kansas,2022,1,21,21
Walker Kessler,Memphis Grizzlies,Auburn,2022,1,22,22
David Roddy,Philadelphia 76ers,Colorado State,2022,1,23,23
MarJon Beauchamp,Milwaukee Bucks,Ignite (G League),2022,1,24,24
Blake Wesley,San Antonio Spurs,Notre Dame,2022,1,25,25
Wendell Moore Jr.,Dallas Mavericks,Duke,2022,1,26,26
Nikola Jović,Miami Heat,KK Mega Leks (Serbia),2022,1,27,27
Patrick Baldwin Jr.,Golden State Warriors,Wisconsin-Milwaukee,2022,1,28,28
TyTy Washington Jr.,Memphis Grizzlies,Kentucky,2022,1,29,29
Peyton Watson,Oklahoma City Thunder,California-Los Angeles,2022,1,30,30
Andrew Nembhard,Indiana Pacers,Gonzaga,2022,2,1,31
Caleb Houstan,Orlando Magic,Michigan,2022,2,2,32
Christian Koloko,Toronto Raptors,Arizona,2022,2,3,33
Jaylin Williams,Oklahoma City Thunder,Arkansas,2022,2,4,34
Max Christie,Los Angeles Lakers,Michigan State,2022,2,5,35
Gabriele Procida,Portland Trail Blazers,Fortitudo Pallacanestro Bologna (Italy),2022,2,6,36
Jaden Hardy,Sacramento Kings,Ignite (G League),2022,2,7,37
Kennedy Chandler,San Antonio Spurs,Tennessee,2022,2,8,38
Khalifa Diop,Cleveland Cavaliers,CB Gran Canaria (Spain),2022,2,9,39
Bryce McGowens,Minnesota Timberwolves,Nebraska,2022,2,10,40
E.J. Liddell,New Orleans Pelicans,Ohio State,2022,2,11,41
Trevor Keels,New York Knicks,Duke,2022,2,12,42
Moussa Diabate,LA Clippers,Michigan,2022,2,13,43
Ryan Rollins,Atlanta Hawks,Toledo,2022,2,14,44
Josh Minott,Charlotte Hornets,Memphis,2022,2,15,45
Ismael Kamagate,Detroit Pistons,Paris (France),2022,2,16,46
Vince Williams Jr.,Memphis Grizzlies,Virginia Commonwealth,2022,2,17,47
Kendall Brown,Minnesota Timberwolves,Baylor,2022,2,18,48
Isaiah Mobley,Cleveland Cavaliers,Southern California,2022,2,19,49
Matteo Spagnolo,Minnesota Timberwolves,Vanoli Cremona (Italy),2022,2,20,50
Tyrese Martin,Golden State Warriors,Connecticut,2022,2,21,51
Karlo Matkovic,New Orleans Pelicans,Mega Mozzart (Serbia),2022,2,22,52
JD Davison,Boston Celtics,Alabama,2022,2,23,53
Yannick Nzosa,Washington Wizards,Unicaja Baloncesto Malaga (Spain),2022,2,24,54
Gui Santos,Golden State Warriors,Associacao Atletica Ponte Preta (Brazil),2022,2,25,55
Luke Travers,Cleveland Cavaliers,Perth Wildcats (Australia),2022,2,26,56
Jabari Walker,Portland Trail Blazers,Colorado,2022,2,27,57
Hugo Besson,Indiana Pacers,Breakers (New Zealand),2022,2,28,58
