#,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Boston Celtics,64,18,0.78,-,37-4,27-14,15-2,41-11,120.6,109.2,11.4,W2,7-3
2,Oklahoma City Thunder,57,25,0.695,7,33-8,24-17,12-4,36-16,120.1,112.7,7.4,W5,7-3
3,Denver Nuggets,57,25,0.695,7,33-8,24-17,10-6,33-19,114.9,109.6,5.3,W1,6-4
4,Minnesota Timberwolves,56,26,0.683,8,30-11,26-15,12-4,37-15,113,106.5,6.5,L1,6-4
5,LA Clippers,51,31,0.622,13,25-16,26-15,9-7,30-22,115.6,112.3,3.3,L3,6-4
6,Dallas Mavericks,50,32,0.61,14,25-16,25-16,11-5,31-21,117.9,115.6,2.3,L2,7-3
7,New York Knicks,50,32,0.61,14,27-14,23-18,12-5,35-17,112.8,108.2,4.6,W5,6-4
8,Milwaukee Bucks,49,33,0.598,15,31-11,18-22,10-7,34-18,119,116.4,2.6,L2,3-7
9,New Orleans Pelicans,49,33,0.598,15,21-19,28-14,9-7,30-22,115.1,110.7,4.4,L1,5-5
10,Phoenix Suns,49,33,0.598,15,25-16,24-17,9-9,29-23,116.2,113.2,3,W3,7-3
11,Cleveland Cavaliers,48,34,0.585,16,26-15,22-19,11-5,31-21,112.6,110.2,2.4,L1,4-6
12,Orlando Magic,47,35,0.573,17,29-12,18-23,9-7,32-20,110.5,108.5,2,W1,5-5
13,Los Angeles Lakers,47,35,0.573,17,28-14,19-21,7-10,27-25,118,117.4,0.6,W2,7-3
14,Philadelphia 76ers,47,35,0.573,17,25-16,22-19,8-8,31-21,114.6,111.5,3.1,W8,8-2
15,Indiana Pacers,47,35,0.573,17,26-15,21-20,11-6,32-20,123.3,120.2,3.1,W1,7-3
16,Miami Heat,46,36,0.561,18,22-19,24-17,13-3,32-20,110.1,108.4,1.7,W2,7-3
17,Sacramento Kings,46,36,0.561,18,24-17,22-19,10-7,30-22,116.6,114.8,1.8,W1,4-6
18,Golden State Warriors,46,36,0.561,18,21-20,25-16,7-9,26-26,117.8,115.2,2.6,W1,8-2
19,Houston Rockets,41,41,0.5,23,27-14,14-27,9-7,28-24,114.3,113.2,1.1,W2,4-6
20,IChicago Bulls,39,43,0.476,25,20-21,19-22,7-9,22-29,112.3,113.7,-1.4,L1,5-5
21,Atlanta Hawks,36,46,0.439,28,21-20,15-26,8-8,22-30,118.3,120.5,-2.2,L6,3-7
22,Brooklyn Nets,32,50,0.39,32,20-21,12-29,5-11,24-28,110.4,113.3,-2.9,L2,5-5
23,Utah Jazz,31,51,0.378,33,21-20,10-31,5-11,16-36,115.7,120.5,-4.8,L1,2-8
24,Memphis Grizzlies,27,55,0.329,37,9-1,18-23,8-8,14-37,105.8,112.8,-7,L5,3-7
25,Toronto Raptors,25,57,0.305,39,14-27,11-30,1-15,18-34,112.4,118.8,-6.4,L4,2-8
26,San Antonio Spurs,22,60,0.268,42,12-29,10-31,3-13,14-37,112.1,118.6,-6.5,W2,6-4
27,Charlotte Hornets,21,61,0.256,43,11-30,10-31,6-10,14-38,106.6,116.8,-10.2,W1,3-7
28,Portland Trail Blazers,21,61,0.256,43,11-30,10-31,1-15,8-1,106.4,115.4,-9,L5,2-8
29,Washington Wizards,15,67,0.183,49,7-1,8-1,4-12,11-1,113.7,123,-9.3,L6,1-9
30,Detroit Pistons,14,68,0.171,50,7-1,7-1,2-14,10-1,109.9,119,-9.1,L1,2-8
