#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
110,Onyeka Okongwu,ATL,5,21.6,5.2,1.8,3.2,56.3,0.0,0.0,0.0,1.6,2.0,80.0,2.2,3.2,5.4,0.4,0.8,0.8,0.8, 10.0
111,Jonathan Kuminga,GSW,16,8.6,5.2,1.9,3.8,50.0,0.2,0.8,23.1,1.3,1.6,76.9,0.3,1.4,1.7,0.5,0.2,0.1,0.7, 4.8
112,Trey Murphy III,NOP,6,20.0,5.2,1.5,3.7,40.9,1.5,3.2,47.4,0.7,0.8,80.0,0.5,2.0,2.5,0.5,0.5,0.2,0.2, 6.3
113,Shake Milton,PHI,12,13.2,5.0,1.5,3.2,47.4,0.7,1.3,53.3,1.3,1.7,80.0,0.3,1.3,1.6,0.9,0.5,0.3,0.4, 5.8
114,Georges Niang,PHI,12,16.5,4.8,1.7,4.0,41.7,1.3,3.6,37.2,0.2,0.2,100,0.3,1.2,1.5,0.9,0.3,0.0,0.6, 4.6
115,Naz Reid,MIN,5,10.8,4.8,1.4,3.4,41.2,0.6,1.4,42.9,1.4,1.4,100,0.4,2.4,2.8,0.0,0.2,1.2,1.0, 6.0
116,Payton Pritchard,BOS,24,12.9,4.8,1.8,4.3,42.2,1.0,3.0,33.3,0.2,0.3,66.7,0.4,1.5,1.9,1.6,0.3,0.1,0.4, 5.7
117,Caleb Martin,MIA,17,12.3,4.5,1.9,4.7,40.0,0.6,1.9,30.3,0.1,0.4,33.3,0.7,1.5,2.2,0.3,0.6,0.1,0.6, 4.0
118,Xavier Tillman,MEM,9,15.4,4.4,2.0,2.8,72.0,0.1,0.2,50.0,0.3,0.7,50.0,1.4,1.9,3.3,0.7,0.7,0.1,1.1, 7.0
119,Danuel House Jr.,UTA,6,18.7,4.3,1.5,3.7,40.9,0.3,1.7,20.0,1.0,1.3,75.0,0.3,2.5,2.8,0.7,0.0,0.2,1.0, 4.5
119,Landry Shamet,PHX,12,16.0,4.3,1.6,4.0,39.6,0.8,2.2,34.6,0.4,0.6,71.4,0.3,1.4,1.7,1.3,0.5,0.0,0.6, 4.6
121,Austin Rivers,DEN,5,21.6,4.2,1.6,3.6,44.4,0.8,2.4,33.3,0.2,0.2,100,0.0,0.6,0.6,1.2,1.4,0.2,0.8, 4.8
122,Cameron Payne,PHX,13,13.2,4.2,1.7,5.7,29.7,0.4,2.3,16.7,0.4,0.5,83.3,0.2,1.4,1.5,2.1,0.5,0.1,1.0, 3.3
123,Davis Bertans,DAL,18,10.7,4.1,1.2,3.1,40.0,1.1,2.8,37.3,0.6,0.7,83.3,0.2,1.2,1.4,0.3,0.4,0.1,0.2, 4.3
124,Ayo Dosunmu,CHI,5,17.2,4.0,1.6,5.2,30.8,0.6,2.6,23.1,0.2,0.2,100,0.8,1.8,2.6,2.2,0.2,0.0,0.6, 4.8
124,Bryn Forbes,DEN,5,15.2,4.0,1.2,3.0,40.0,0.8,2.2,36.4,0.8,1.0,80.0,0.2,0.4,0.6,1.4,0.2,0.0,0.4, 3.8
124,Devonte' Graham,NOP,6,10.0,4.0,1.0,3.0,33.3,0.8,2.3,35.7,1.2,1.3,87.5,0.3,1.2,1.5,0.7,0.2,0.2,0.7, 3.7
124,JaMychal Green,DEN,5,13.8,4.0,1.2,3.2,37.5,0.2,1.0,20.0,1.4,1.4,100,0.6,1.8,2.4,0.4,0.0,0.2,0.4, 4.6
128,Derrick Jones Jr.,CHI,5,11.8,3.8,1.4,3.4,41.2,0.6,2.2,27.3,0.4,0.6,66.7,0.6,0.8,1.4,0.4,0.2,0.0,0.6, 3.0
128,Jeff Green,DEN,5,22.6,3.8,1.2,3.4,35.3,0.6,1.6,37.5,0.8,1.0,80.0,1.4,2.2,3.6,0.4,0.6,0.4,0.4, 6.0
130,Dewayne Dedmon,MIA,14,9.9,3.8,1.5,3.2,46.7,0.1,0.7,10.0,0.7,0.9,83.3,1.1,1.9,3.0,0.4,0.1,0.2,0.5, 5.1
131,Andre Drummond,BKN,4,15.0,3.8,1.5,2.8,54.5,0.0,0.0,0.0,0.8,1.3,60.0,0.8,2.3,3.0,0.8,1.3,0.8,1.5, 6.3
132,Paul Reed,PHI,12,11.7,3.7,1.6,3.0,52.8,0.2,0.3,66.7,0.3,0.6,57.1,1.8,2.0,3.8,0.8,0.8,0.5,0.8, 7.2
133,Thaddeus Young,TOR,6,14.5,3.3,1.5,3.0,50.0,0.2,1.2,14.3,0.2,0.7,25.0,1.2,1.8,3.0,1.7,0.8,0.2,0.5, 6.5
134,Dwight Powell,DAL,18,13.8,3.2,1.2,1.9,62.9,0.0,0.1,0.0,0.8,1.3,60.9,0.9,1.7,2.6,0.2,0.2,0.3,0.5, 4.8
135,Furkan Korkmaz,PHI,9,6.8,3.1,1.2,2.6,47.8,0.4,1.1,40.0,0.2,0.2,100,0.1,1.2,1.3,0.4,0.1,0.1,0.2, 3.6
136,Khem Birch,TOR,6,10.5,3.0,1.3,2.7,50.0,0.3,0.7,50.0,0.0,0.0,0.0,0.7,0.8,1.5,0.5,0.2,0.2,0.5, 3.5
136,Matisse Thybulle,PHI,9,15.2,3.0,1.2,2.7,45.8,0.4,1.6,28.6,0.1,0.3,33.3,0.2,0.8,1.0,0.4,0.8,0.8,0.2, 4.1
136,Naji Marshall,NOP,6,9.3,3.0,1.2,1.7,70.0,0.0,0.0,0.0,0.7,0.7,100,0.5,0.5,1.0,0.8,0.2,0.2,0.5, 4.2
139,Juancho Hernangomez,UTA,6,9.3,2.3,0.8,3.0,27.8,0.7,2.0,33.3,0.0,0.0,0.0,0.3,1.7,2.0,0.8,0.3,0.0,0.3, 3.0
140,Jevon Carter,MIL,11,11.5,2.1,0.8,1.7,47.4,0.3,0.6,42.9,0.2,0.2,100,0.3,1.2,1.5,0.9,0.7,0.0,0.5, 3.7
141,Damion Lee,GSW,16,7.8,2.0,0.8,2.1,38.2,0.3,1.0,25.0,0.1,0.2,66.7,0.3,1.3,1.6,0.4,0.1,0.0,0.4, 2.4
142,Hassan Whiteside,UTA,6,10.8,1.8,0.8,2.0,41.7,0.0,0.0,0.0,0.2,0.7,25.0,1.3,3.8,5.2,0.0,0.3,1.3,0.0, 7.0
143,Josh Green,DAL,16,7.6,1.4,0.5,1.8,28.6,0.3,1.4,22.7,0.1,0.5,25.0,0.1,0.7,0.8,0.4,0.3,0.0,0.0, 1.3
144,Javonte Green,CHI,5,14.4,1.4,0.6,3.4,17.6,0.0,1.2,0.0,0.2,0.4,50.0,1.6,1.4,3.0,0.4,1.8,0.0,0.8, 2.8
145,Timothe Luwawu-Cabarrot,ATL,4,5.5,1.3,0.5,1.0,50.0,0.3,0.8,33.3,0.0,0.0,0.0,0.0,0.8,0.8,0.5,0.0,0.0,0.3, 1.8
146,Tristan Thompson,CHI,5,7.6,0.8,0.4,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.2,1.6,0.4,0.2,0.0,1.0, 1.4
147,Facundo Campazzo,DEN,4,3.3,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.5,0.0,0.0,0.5, 0.3
147,Malachi Flynn,TOR,6,6.0,0.0,0.0,1.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.3,0.2,0.5,0.5,0.2,0.0,0.2, -0.2
