#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,Season
118,Kevon Harris,ATL,2,17.5,11.0,3.5,9.0,38.9,0.0,4.5,0.0,4.0,4.0,100.0,1.5,2.0,3.5,1.5,1.0,0.5,1.5,10.5,2023-24
118,Norman Powell,LAC,4,17.0,11.0,3.3,6.0,54.2,1.3,2.5,50.0,3.3,3.5,92.9,0.0,1.8,1.8,1.5,0.5,0.3,1.0,11.0,2023-24
118,Ousmane Dieng,OKC,5,26.0,11.0,3.8,9.0,42.2,1.6,4.8,33.3,1.8,2.6,69.2,2.2,4.2,6.4,3.6,0.2,1.2,1.6,14.8,2023-24
118,Stephen Curry,GSW,4,18.3,11.0,3.8,10.3,36.6,1.8,6.3,28.0,1.8,2.0,87.5,0.0,2.3,2.3,3.3,1.0,0.3,2.8,8.3,2023-24
118,Stephon Castle,SAS,5,21.0,11.0,3.4,7.6,44.7,0.8,3.2,25.0,3.4,4.8,70.8,1.2,1.2,2.4,3.6,1.2,0.0,2.8,9.8,2023-24
129,Chet Holmgren,OKC,4,15.0,10.8,3.8,7.5,50.0,0.8,2.0,37.5,2.5,4.0,62.5,0.5,4.0,4.5,1.3,0.5,1.3,1.8,11.3,2023-24
129,Dyson Daniels,ATL,4,22.8,10.8,4.0,9.5,42.1,2.0,5.3,38.1,0.8,1.5,50.0,1.3,3.0,4.3,2.8,1.3,0.5,1.3,12.0,2023-24
129,Jay Huff,MEM,4,15.8,10.8,4.0,9.0,44.4,2.3,5.3,42.9,0.5,0.8,66.7,1.3,3.3,4.5,1.3,0.3,1.0,1.5,11.0,2023-24
129,Landry Shamet,NYK,4,22.0,10.8,3.8,10.5,35.7,2.3,7.5,30.0,1.0,1.0,100.0,0.5,2.3,2.8,1.5,1.0,0.5,0.5,9.3,2023-24
129,Mikal Bridges,NYK,4,26.5,10.8,4.0,9.8,41.0,0.5,4.8,10.5,2.3,2.8,81.8,0.8,2.5,3.3,1.5,1.0,0.0,0.5,9.8,2023-24
134,Deandre Ayton,POR,3,17.7,10.7,4.7,7.0,66.7,1.0,1.3,75.0,0.3,0.3,100.0,3.0,4.7,7.7,1.0,1.3,0.3,1.3,17.3,2023-24
135,John Collins,UTA,5,15.8,10.6,3.6,8.4,42.9,0.6,3.0,20.0,2.8,3.8,73.7,1.8,3.4,5.2,1.6,0.8,1.0,1.8,11.6,2023-24
136,Julian Phillips,CHI,4,20.0,10.5,4.0,8.0,50.0,2.0,4.8,42.1,0.5,0.5,100.0,2.5,1.3,3.8,0.5,0.0,0.5,1.3,10.0,2023-24
136,Lonzo Ball,CHI,2,15.5,10.5,4.0,7.5,53.3,2.5,5.5,45.5,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.5,0.5,0.5,11.5,2023-24
136,OG Anunoby,NYK,4,24.0,10.5,3.3,8.0,40.6,1.3,4.0,31.3,2.8,3.5,78.6,0.5,4.3,4.8,1.3,1.8,1.0,1.0,12.8,2023-24
136,Sam Hauser,BOS,4,17.5,10.5,3.8,8.3,45.5,2.8,6.0,45.8,0.3,0.3,100.0,1.3,4.3,5.5,1.5,0.8,0.5,0.3,14.0,2023-24
136,Shake Milton,BKN,4,16.8,10.5,3.8,5.5,68.2,1.3,2.0,62.5,1.8,2.0,87.5,0.5,1.0,1.5,2.3,0.8,0.3,1.5,11.8,2023-24
141,Ochai Agbaji,TOR,5,23.6,10.4,4.2,7.8,53.8,0.6,3.2,18.8,1.4,2.2,63.6,1.0,2.8,3.8,2.6,0.4,0.2,1.0,12.0,2023-24
142,Bones Hyland,LAC,3,19.0,10.3,3.3,12.0,27.8,2.0,7.3,27.3,1.7,2.3,71.4,0.7,3.7,4.3,1.7,1.3,0.0,1.7,6.7,2023-24
142,Jalen Suggs,ORL,3,21.0,10.3,3.0,8.7,34.6,1.3,6.0,22.2,3.0,4.3,69.2,0.7,4.0,4.7,3.3,2.0,0.3,2.3,11.3,2023-24
144,Jamal Murray,DEN,4,20.3,10.3,3.0,8.0,37.5,1.8,4.0,43.8,2.5,2.5,100.0,0.0,1.3,1.3,2.5,1.3,0.8,2.0,9.0,2023-24
144,Jazian Gortman,DAL,4,20.5,10.3,4.0,7.8,51.6,2.0,3.5,57.1,0.3,0.3,100.0,0.0,1.8,1.8,2.0,1.3,0.0,1.8,9.8,2023-24
146,Brice Sensabaugh,UTA,6,21.3,10.2,3.2,7.5,42.2,1.5,3.7,40.9,2.3,3.0,77.8,0.7,3.2,3.8,1.8,1.0,0.0,1.8,10.0,2023-24
147,Kelly Olynyk,TOR,1,12.0,10.0,3.0,6.0,50.0,2.0,5.0,40.0,2.0,3.0,66.7,0.0,5.0,5.0,3.0,0.0,0.0,1.0,13.0,2023-24
147,Kevin Porter Jr.,LAC,4,16.5,10.0,4.0,9.8,41.0,0.5,1.8,28.6,1.5,2.0,75.0,0.0,3.0,3.0,3.8,1.8,0.5,2.5,10.3,2023-24
147,Olivier-Maxence Prosper,DAL,4,22.8,10.0,3.5,7.5,46.7,0.5,2.3,22.2,2.5,3.5,71.4,1.5,3.0,4.5,1.5,0.8,0.0,1.0,10.8,2023-24
147,Rayan Rupert,POR,4,26.3,10.0,4.3,8.8,48.6,0.5,3.5,14.3,1.0,1.5,66.7,0.3,3.3,3.5,2.0,0.8,0.3,2.0,9.5,2023-24
147,Zach Collins,SAS,3,21.0,10.0,4.0,10.7,37.5,0.3,3.0,11.1,1.7,3.0,55.6,0.0,3.0,3.0,3.3,0.7,0.3,0.0,9.3,2023-24
147,Ziaire Williams,BKN,4,25.0,10.0,4.0,8.3,48.5,0.8,2.8,27.3,1.3,2.0,62.5,2.0,4.5,6.5,1.5,2.5,0.8,1.5,14.8,2023-24
153,Brandin Podziemski,GSW,5,22.4,9.8,3.4,8.8,38.6,1.4,3.8,36.8,1.6,2.0,80.0,0.4,4.0,4.4,4.0,1.8,0.0,2.6,11.6,2023-24
153,D'Angelo Russell,LAL,5,25.8,9.8,3.8,10.4,36.5,1.2,5.0,24.0,1.0,1.0,100.0,0.4,1.8,2.2,5.0,0.8,0.4,1.6,10.0,2023-24
153,Jalen Duren,DET,5,18.4,9.8,4.4,6.4,68.8,0.0,0.0,0.0,1.0,1.4,71.4,2.2,4.2,6.4,2.0,0.6,1.0,1.6,15.8,2023-24
156,Kris Murray,POR,4,23.0,9.8,3.8,7.0,53.6,1.3,3.3,38.5,1.0,2.0,50.0,1.5,2.0,3.5,2.0,1.0,0.5,0.8,11.8,2023-24
157,Dejounte Murray,NOP,3,21.0,9.7,3.3,9.3,35.7,0.7,3.3,20.0,2.3,2.7,87.5,0.3,4.3,4.7,5.0,0.7,0.0,1.3,12.3,2023-24
157,Tyrese Haliburton,IND,3,19.3,9.7,3.7,6.7,55.0,2.0,4.3,46.2,0.3,0.3,100.0,0.0,2.7,2.7,4.3,1.0,0.0,1.3,13.3,2023-24
159,Sandro Mamukelashvili,SAS,5,15.2,9.6,3.0,6.2,48.4,2.4,4.4,54.5,1.2,1.6,75.0,0.8,1.4,2.2,1.8,0.4,0.0,0.6,9.8,2023-24
160,Cam Whitmore,HOU,4,18.8,9.5,3.3,8.8,37.1,0.8,4.0,18.8,2.3,3.5,64.3,0.5,1.5,2.0,2.3,1.0,0.5,1.8,6.8,2023-24
160,Dalano Banton,POR,4,20.0,9.5,3.3,7.0,46.4,1.0,3.8,26.7,2.0,3.5,57.1,0.8,2.5,3.3,4.3,1.0,0.8,1.8,11.8,2023-24
160,Josh Giddey,CHI,4,23.8,9.5,3.3,10.3,31.7,1.3,4.0,31.3,1.8,2.3,77.8,0.5,4.5,5.0,6.0,0.3,2.0,1.8,13.5,2023-24
160,Miles Bridges,CHA,4,19.0,9.5,3.3,7.8,41.9,1.0,3.3,30.8,2.0,2.3,88.9,1.3,3.8,5.0,1.8,0.3,0.3,1.8,10.3,2023-24
160,Tyus Jones,PHX,4,22.0,9.5,3.8,6.0,62.5,2.0,3.3,61.5,0.0,0.0,0.0,0.0,1.3,1.3,5.3,2.0,0.0,1.3,14.5,2023-24
160,Victor Wembanyama,SAS,2,20.0,9.5,3.5,10.5,33.3,0.5,4.5,11.1,2.0,3.5,57.1,1.0,7.0,8.0,3.5,0.5,2.0,3.0,12.0,2023-24
166,Precious Achiuwa,NYK,5,24.6,9.4,3.8,8.2,46.3,0.6,1.2,50.0,1.2,1.2,100.0,2.4,4.8,7.2,1.4,0.8,0.6,1.2,13.8,2023-24
166,Ryan Dunn,PHX,5,22.4,9.4,3.0,7.6,39.5,2.6,6.0,43.3,0.8,1.6,50.0,0.8,3.0,3.8,1.2,1.2,1.4,1.0,10.6,2023-24
