#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1,Desmond Bane,MEM,4,25.0,22.0,7.5,14.8,50.8,3.5,7.3,48.3,3.5,4.0,87.5,0.8,3.5,4.3,4.3,0.5,0.5,2.3, 21.5
2,Jonathan Kuminga,GSW,5,27.0,21.8,7.0,12.8,54.7,2.2,4.8,45.8,5.6,7.4,75.7,1.4,4.4,5.8,3.0,0.8,0.4,4.0, 20.2
3,Tyler Herro,MIA,3,23.7,21.7,8.0,16.7,48.0,2.3,5.7,41.2,3.3,4.0,83.3,0.3,2.7,3.0,4.3,0.0,0.0,1.3, 18.3
4,Joel Embiid,PHI,1,33.0,21.0,3.0,12.0,25.0,1.0,3.0,33.3,14.0,15.0,93.3,2.0,3.0,5.0,1.0,1.0,2.0,3.0, 17.0
5,Kyle Kuzma,WAS,2,22.0,20.5,7.5,13.0,57.7,2.0,5.5,36.4,3.5,4.0,87.5,0.0,4.0,4.0,2.5,0.0,0.0,3.5, 17.5
6,Giannis Antetokounmpo,MIL,3,22.3,20.0,9.0,13.3,67.5,0.3,1.7,20.0,1.7,3.7,45.5,1.3,7.0,8.3,2.3,1.7,1.3,3.7, 23.7
7,Anfernee Simons,POR,3,21.3,19.3,6.7,11.0,60.6,3.7,6.0,61.1,2.3,3.3,70.0,0.0,1.0,1.0,1.7,1.3,0.0,2.3, 15.7
8,Jordan Poole,WAS,4,22.3,19.3,4.8,15.0,31.7,3.0,8.5,35.3,6.8,7.3,93.1,0.3,2.8,3.0,2.8,1.0,0.0,2.3, 13.0
8,Victor Wembanyama,SAS,4,20.8,19.3,7.3,14.3,50.9,1.8,5.5,31.8,3.0,3.5,85.7,0.8,4.0,4.8,1.5,1.0,2.8,2.8, 19.0
10,Jaylen Brown,BOS,3,26.3,18.7,7.0,12.3,56.8,2.7,4.7,57.1,2.0,2.7,75.0,0.7,2.7,3.3,2.7,0.7,0.3,3.0, 16.7
11,Scottie Barnes,TOR,4,22.3,18.5,6.8,10.8,62.8,1.8,3.5,50.0,3.3,4.8,68.4,2.0,4.0,6.0,3.0,1.0,1.8,3.0, 21.8
12,De'Anthony Melton,PHI,3,26.0,18.0,6.3,13.0,48.7,3.7,8.3,44.0,1.7,2.3,71.4,1.3,3.3,4.7,4.7,2.3,1.3,1.3, 22.3
12,RJ Barrett,TOR,3,25.3,18.0,5.0,13.0,38.5,2.0,7.0,28.6,6.0,7.0,85.7,0.3,3.3,3.7,2.3,0.7,0.0,1.7, 14.0
14,Julian Strawther,DEN,4,23.3,17.8,6.0,11.8,51.1,3.5,7.8,45.2,2.3,2.5,90.0,0.3,1.3,1.5,1.3,0.3,0.5,0.5, 14.8
15,Jayson Tatum,BOS,3,26.7,17.3,5.3,13.3,40.0,2.0,5.7,35.3,4.7,5.3,87.5,1.0,7.0,8.0,5.3,2.3,0.3,1.7, 23.0
15,Luka Dončić,DAL,3,13.7,17.3,5.3,10.7,50.0,2.7,6.7,40.0,4.0,4.7,85.7,0.7,2.7,3.3,2.7,0.7,0.0,2.0, 16.0
17,Karl-Anthony Towns,MIN,3,20.7,17.0,6.0,13.0,46.2,2.3,6.0,38.9,2.7,3.3,80.0,0.7,3.3,4.0,2.0,0.7,1.0,2.3, 14.7
17,Kevin Durant,PHX,4,16.5,17.0,6.0,11.5,52.2,1.5,3.3,46.2,3.5,4.0,87.5,0.3,3.3,3.5,3.3,0.0,0.0,1.5, 16.3
17,Zach LaVine,CHI,3,23.7,17.0,7.3,13.7,53.7,1.7,5.3,31.3,0.7,0.7,100,0.7,2.7,3.3,3.0,2.0,0.0,2.0, 17.0
20,Jalen Williams,OKC,4,22.8,16.8,5.8,12.0,47.9,1.3,3.5,35.7,4.0,5.8,69.6,1.0,1.8,2.8,3.0,1.8,0.3,1.8, 14.8
20,Lauri Markkanen,UTA,4,21.0,16.8,6.0,11.5,52.2,1.0,3.3,30.8,3.8,4.0,93.8,2.8,5.3,8.0,0.8,0.5,0.5,1.3, 19.5
20,Stephen Curry,GSW,4,21.3,16.8,5.0,10.8,46.5,3.3,6.8,48.1,3.5,3.8,93.3,0.3,3.0,3.3,3.0,1.5,0.8,2.5, 16.8
23,Naz Reid,MIN,4,18.3,16.5,6.0,10.0,60.0,2.0,4.0,50.0,2.5,3.5,71.4,1.0,3.8,4.8,1.5,1.0,0.3,1.3, 17.8
23,Nikola Jokić,DEN,4,22.0,16.5,6.8,11.3,60.0,1.3,3.5,35.7,1.8,2.8,63.6,0.8,7.3,8.0,4.8,1.5,0.5,2.0, 23.8
23,Trae Young,ATL,4,19.8,16.5,5.3,12.8,41.2,2.3,6.5,34.6,3.8,4.3,88.2,0.0,1.5,1.5,5.8,1.5,0.0,3.8, 13.5
26,Anthony Edwards,MIN,3,21.3,16.3,6.0,13.3,45.0,2.3,5.3,43.8,2.0,2.7,75.0,0.7,4.3,5.0,2.0,0.0,0.7,2.3, 13.7
26,Devin Booker,PHX,3,17.7,16.3,6.0,11.7,51.4,3.0,5.3,56.3,1.3,1.3,100,0.7,0.3,1.0,3.7,1.0,0.0,1.3, 15.0
28,Cam Thomas,BKN,4,23.0,16.3,5.0,12.8,39.2,2.3,4.3,52.9,4.0,4.0,100,0.8,1.5,2.3,1.8,0.3,0.0,1.8, 11.0
28,Chet Holmgren,OKC,4,19.3,16.3,5.5,9.5,57.9,1.5,3.0,50.0,3.8,5.0,75.0,1.0,4.0,5.0,1.3,0.3,2.0,1.5, 18.0
28,Devin Vassell,SAS,4,22.5,16.3,5.0,10.0,50.0,3.8,6.5,57.7,2.5,3.8,66.7,0.5,1.8,2.3,2.0,1.3,0.3,0.8, 15.0
31,Austin Reaves,LAL,3,22.3,16.0,5.0,8.0,62.5,2.7,4.0,66.7,3.3,3.7,90.9,0.0,3.0,3.0,2.7,1.3,0.7,1.7, 18.7
31,Bam Adebayo,MIA,4,18.0,16.0,6.5,11.8,55.3,0.0,0.3,0.0,3.0,4.0,75.0,1.3,4.0,5.3,2.3,0.3,1.0,2.0, 16.5
31,Tyrese Maxey,PHI,4,26.0,16.0,6.3,13.3,47.2,2.0,6.5,30.8,1.5,2.0,75.0,0.3,2.0,2.3,5.5,1.8,0.5,1.5, 17.0
34,Donovan Mitchell,CLE,3,24.7,15.7,6.0,14.7,40.9,2.0,6.3,31.6,1.7,2.7,62.5,0.3,3.0,3.3,3.0,2.7,0.3,2.3, 13.0
35,Payton Pritchard,BOS,5,23.0,15.6,5.6,12.6,44.4,3.4,9.4,36.2,1.0,1.0,100,0.2,1.6,1.8,4.8,1.4,0.0,1.4, 15.2
36,Bones Hyland,LAC,4,19.5,15.5,6.0,11.8,51.1,0.3,3.8,6.7,3.3,4.3,76.5,0.8,3.3,4.0,4.0,1.3,0.5,2.0, 16.5
36,De'Aaron Fox,SAC,4,24.5,15.5,5.0,12.5,40.0,0.8,4.3,17.6,4.8,5.5,86.4,1.0,3.5,4.5,4.3,1.0,0.5,0.8, 16.8
