#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1,Ja Morant,MEM,4,26.0,23.3,8.0,16.8,47.8,0.8,3.3,23.1,6.5,9.3,70.3,1.3,4.0,5.3,4.8,1.8,0.8,2.5, 21.8
2,Tyler Herro,MIA,2,26.0,22.5,7.5,14.5,51.7,3.5,6.0,58.3,4.0,4.0,100,1.0,4.0,5.0,2.5,1.0,2.0,3.0, 23.0
3,Jaylen Brown,BOS,4,27.3,22.3,8.0,13.5,59.3,3.5,6.8,51.9,2.8,4.8,57.9,0.8,3.8,4.5,1.8,0.5,0.0,2.8, 18.8
4,Jalen Green,HOU,4,26.3,22.0,6.8,15.3,44.3,3.3,7.5,43.3,5.3,5.5,95.5,0.0,3.0,3.0,3.3,0.8,0.0,1.5, 18.8
5,Giannis Antetokounmpo,MIL,2,26.5,21.5,6.0,18.5,32.4,0.0,1.5,0.0,9.5,12.5,76.0,1.5,9.0,10.5,3.0,1.5,0.0,3.5, 17.5
6,Bam Adebayo,MIA,3,24.7,21.3,7.7,13.3,57.5,0.3,1.0,33.3,5.7,8.3,68.0,2.3,2.0,4.3,3.0,1.7,0.7,1.7, 21.0
6,DeMar DeRozan,CHI,3,24.7,21.3,7.0,12.0,58.3,0.0,0.7,0.0,7.3,7.7,95.7,0.7,3.0,3.7,4.7,2.0,0.3,2.3, 24.3
8,Jabari Smith Jr.,HOU,1,24.0,21.0,8.0,15.0,53.3,5.0,8.0,62.5,0.0,0.0,0.0,1.0,7.0,8.0,2.0,0.0,0.0,2.0, 22.0
8,Trae Young,ATL,4,25.8,21.0,6.5,14.8,44.1,2.8,6.0,45.8,5.3,6.0,87.5,0.0,1.5,1.5,5.5,0.8,0.3,3.5, 16.5
10,Keldon Johnson,SAS,2,25.5,20.5,8.5,16.0,53.1,2.0,5.0,40.0,1.5,2.0,75.0,2.0,2.5,4.5,2.5,1.0,0.0,1.0, 19.5
11,Dejounte Murray,ATL,3,27.3,20.0,7.7,14.0,54.8,1.7,3.7,45.5,3.0,3.3,90.0,0.3,5.3,5.7,5.3,0.0,1.3,1.7, 24.0
11,Luka Dončić,DAL,2,24.0,20.0,7.5,13.0,57.7,2.5,7.0,35.7,2.5,4.0,62.5,0.0,3.0,3.0,5.5,1.5,1.5,2.5, 22.0
13,Bennedict Mathurin,IND,4,23.5,19.8,6.8,14.0,48.2,0.5,3.3,15.4,5.8,6.8,85.2,1.8,2.0,3.8,1.3,0.5,0.0,1.8, 15.3
13,RJ Barrett,NYK,4,27.5,19.8,6.8,14.0,48.2,3.0,6.0,50.0,3.3,4.0,81.3,0.5,5.5,6.0,2.5,0.3,0.5,1.5, 19.5
