#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
146,Dalano Banton,POR,17,15.8,9.5,3.3,7.8,42.1,1.4,3.5,39.0,1.6,2.4,65.9,0.3,2.1,2.4,2.4,0.9,0.7,1.6, 8.9
147,Isaiah Joe,OKC,16,22.7,9.5,3.3,8.1,40.8,2.4,6.4,37.9,0.4,0.6,70.0,0.7,2.4,3.1,1.6,0.8,0.3,0.4, 9.8
148,Amir Coffey,LAC,20,24.2,9.5,3.2,6.9,46.4,1.5,3.6,40.8,1.6,1.9,84.2,0.6,2.0,2.6,1.2,0.6,0.1,0.6, 9.3
149,Royce O'Neale,PHX,18,25.3,9.4,3.3,8.0,41.7,2.1,5.1,41.3,0.7,0.9,70.6,1.3,4.8,6.1,2.2,1.0,0.8,0.9, 13.6
150,Jalen Wilson,BKN,18,24.0,9.4,3.2,7.0,45.2,1.3,3.8,34.8,1.7,2.0,86.1,1.2,2.4,3.7,1.8,0.3,0.1,0.9, 10.1
151,Kevin Huerter,SAC,17,26.9,9.4,3.6,8.9,41.1,1.6,5.9,28.0,0.4,0.6,63.6,0.3,3.3,3.6,2.1,1.1,0.6,1.1, 10.1
152,Aaron Wiggins,OKC,18,20.9,9.3,3.6,7.9,45.5,1.6,3.6,43.1,0.6,0.7,76.9,1.2,2.4,3.6,1.6,0.8,0.3,0.9, 10.2
153,Ziaire Williams,BKN,19,21.9,9.2,3.3,7.7,43.2,0.9,3.2,28.3,1.7,2.1,82.1,1.1,3.4,4.4,1.2,0.9,0.4,0.9, 10.5
154,Obi Toppin,IND,18,19.6,9.2,3.7,6.9,53.6,1.0,3.1,32.1,0.7,0.8,86.7,0.8,2.3,3.1,1.7,0.6,0.4,0.6, 10.9
155,Carlton Carrington,WAS,17,28.4,9.1,3.3,8.1,40.9,1.4,4.0,35.3,1.1,1.4,79.2,0.2,3.7,3.9,4.5,1.2,0.4,1.9, 12.1
156,Nickeil Alexander-Walker,MIN,18,24.1,9.1,3.2,6.2,52.3,1.6,3.4,47.5,1.0,1.3,78.3,0.6,1.9,2.5,2.6,0.9,0.4,1.3, 10.9
157,Jake LaRavia,MEM,19,24.3,9.0,3.2,6.3,51.3,0.9,2.3,41.9,1.6,2.3,70.5,1.5,3.5,4.9,3.9,0.8,0.8,1.4, 14.4
158,Toumani Camara,POR,19,30.7,8.9,3.3,8.2,40.4,1.5,4.1,37.2,0.8,1.2,65.2,2.4,2.8,5.2,2.2,1.6,0.4,1.7, 11.3
159,Donte DiVincenzo,MIN,18,25.8,8.9,3.1,8.8,34.8,2.2,6.9,31.5,0.7,0.9,75.0,0.3,2.7,3.0,3.2,1.3,0.3,1.8, 8.9
160,Garrison Mathews,ATL,16,19.3,8.9,2.6,5.8,45.7,2.3,4.8,47.4,1.4,1.6,88.5,0.2,0.9,1.1,1.6,0.8,0.2,0.4, 8.9
160,Jusuf Nurkić,PHX,16,24.1,8.9,2.9,7.0,42.0,0.9,2.9,29.8,2.2,3.3,67.3,1.8,8.1,9.9,1.3,0.9,0.6,2.3, 14.3
162,Dereck Lively II,DAL,15,22.5,8.9,3.7,5.2,70.5,0.0,0.0,0.0,1.6,2.5,63.2,2.6,4.5,7.1,2.2,0.7,1.5,1.0, 17.0
163,Jalen Duren,DET,18,24.5,8.8,3.6,5.1,69.6,0.0,0.0,0.0,1.7,2.9,57.7,3.3,6.6,9.9,2.6,0.3,1.2,1.8, 18.2
