#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
43,Alperen Sengun,HOU,20,30.5,18.7,7.2,15.2,47.5,0.4,1.5,26.7,3.9,5.1,76.5,3.5,7.3,10.7,5.1,1.2,1.3,2.2, 25.7
44,Coby White,CHI,20,32.5,18.7,6.2,14.1,44.1,3.4,8.8,38.9,2.9,3.3,87.7,0.3,3.3,3.6,4.6,1.2,0.3,2.5, 17.5
45,Bennedict Mathurin,IND,19,32.2,18.6,6.1,12.3,49.1,1.7,4.1,41.6,4.8,5.7,84.4,1.3,5.7,7.0,1.8,0.7,0.3,1.9, 19.4
46,Dennis Schröder,BKN,18,34.2,18.6,6.3,13.9,45.0,2.8,6.7,41.7,3.3,3.7,88.1,0.2,2.9,3.2,6.3,1.2,0.2,2.4, 19.0
47,Michael Porter Jr.,DEN,17,36.0,18.6,7.3,14.8,49.4,2.7,6.7,40.4,1.3,1.9,66.7,1.7,5.5,7.2,2.9,0.8,0.4,1.1, 20.6
48,Derrick White,BOS,18,34.9,18.4,6.4,13.6,47.1,3.8,9.1,41.5,1.9,2.2,85.0,1.2,3.4,4.7,4.4,0.8,1.1,1.5, 20.4
48,OG Anunoby,NYK,18,36.6,18.4,6.9,13.7,50.4,2.4,6.1,39.1,2.3,2.7,83.7,1.2,4.2,5.3,2.1,1.4,0.7,1.1, 19.6
50,Jimmy Butler,MIA,12,31.5,18.4,5.8,11.1,52.6,0.4,1.4,29.4,6.3,8.2,77.6,2.6,2.8,5.4,4.8,1.2,0.3,1.7, 21.4
51,Jaden Ivey,DET,19,31.1,18.4,6.6,14.5,45.3,1.8,4.8,38.5,3.4,4.7,71.1,1.4,3.0,4.4,4.2,0.9,0.5,3.2, 15.9
52,Gradey Dick,TOR,17,32.9,18.1,6.1,14.5,41.7,2.4,6.9,34.2,3.6,4.0,91.2,0.6,2.4,3.1,2.2,0.9,0.3,1.8, 13.9
53,Jamal Murray,DEN,14,35.6,18.1,6.4,15.5,41.5,2.1,6.4,32.6,3.1,4.0,78.6,0.6,3.8,4.4,6.1,1.4,0.5,1.9, 18.6
54,Cameron Johnson,BKN,19,32.5,17.9,6.0,12.3,48.7,3.2,7.6,41.7,2.7,3.0,91.2,0.7,3.5,4.3,3.1,0.8,0.4,0.8, 19.1
55,John Collins,UTA,17,28.2,17.9,6.9,12.6,54.4,1.0,2.7,37.0,3.1,3.3,94.6,2.6,6.2,8.8,2.5,1.4,0.8,2.6, 22.8
56,Evan Mobley,CLE,18,30.8,17.8,6.9,12.4,55.6,0.7,1.9,35.3,3.4,4.1,82.4,2.3,6.8,9.1,2.7,1.1,1.6,2.2, 23.9
57,Tyrese Haliburton,IND,19,35.0,17.4,5.8,14.6,39.9,2.9,8.7,33.9,2.8,3.3,85.5,0.8,2.7,3.6,8.8,1.4,0.5,1.8, 20.6
58,Andrew Wiggins,GSW,16,28.4,17.4,5.9,12.8,46.3,2.1,5.2,41.0,3.4,4.4,76.1,1.8,2.6,4.4,2.4,0.8,0.8,0.9, 16.9
59,Collin Sexton,UTA,18,28.2,17.2,5.8,12.1,47.9,1.9,4.2,45.3,3.8,4.3,88.3,0.7,1.7,2.4,3.2,0.7,0.1,2.3, 14.6
60,Austin Reaves,LAL,18,34.0,17.1,5.9,13.3,44.8,2.7,7.3,37.1,2.4,3.2,77.2,0.8,2.7,3.4,4.9,1.1,0.2,2.1, 16.6
61,Jared McCain,PHI,17,24.9,16.5,5.7,12.7,44.9,2.4,6.3,37.4,2.8,3.0,92.2,0.5,1.9,2.4,2.7,0.6,0.0,1.4, 13.6
62,Anfernee Simons,POR,16,30.2,16.4,5.8,15.0,38.3,2.4,7.5,31.7,2.6,2.9,89.1,0.3,2.1,2.4,4.0,0.8,0.1,2.4, 11.8
63,Myles Turner,IND,17,32.5,16.4,6.1,12.5,48.4,2.1,5.2,39.8,2.2,3.2,67.3,1.4,5.9,7.4,1.4,0.9,2.1,2.6, 17.9
64,Christian Braun,DEN,17,34.9,16.2,5.9,10.2,58.0,1.4,2.8,47.9,2.9,3.6,80.6,1.2,3.8,4.9,1.9,1.2,0.7,1.3, 18.7
65,Keyonte George,UTA,17,31.8,16.1,5.4,14.3,37.9,2.9,8.4,34.5,2.4,3.0,78.4,0.5,2.3,2.8,5.7,0.7,0.1,3.1, 12.7
66,Jerami Grant,POR,18,32.3,16.1,5.2,13.5,38.3,2.2,6.4,34.8,3.5,4.3,81.8,0.4,3.0,3.4,2.2,0.9,1.1,1.4, 13.1
67,Bam Adebayo,MIA,16,35.2,15.9,5.9,13.8,43.2,0.9,2.6,33.3,3.2,4.4,71.8,2.8,6.6,9.3,4.4,1.7,0.9,1.6, 21.6
68,Mikal Bridges,NYK,18,38.2,15.9,6.7,14.6,46.0,2.1,6.7,30.8,0.4,0.6,63.6,1.1,2.7,3.8,3.3,1.0,0.6,1.4, 15.1
69,Kyle Kuzma,WAS,12,27.5,15.8,6.3,15.1,42.0,1.3,4.8,27.6,1.8,2.7,68.8,0.7,4.9,5.6,1.9,0.4,0.3,2.4, 12.0
70,Ivica Zubac,LAC,20,32.5,15.7,7.0,11.5,61.1,0.0,0.0,0.0,1.7,3.1,54.8,4.1,8.5,12.6,2.4,0.6,1.1,2.2, 24.3
71,Jalen Suggs,ORL,19,29.3,15.6,5.3,12.6,41.8,2.2,6.9,32.1,2.8,3.1,93.1,0.6,3.7,4.3,3.8,1.3,1.1,2.6, 15.9
72,Buddy Hield,GSW,18,23.7,15.6,5.5,11.8,46.5,3.5,7.9,44.1,1.1,1.2,90.5,0.8,2.8,3.6,1.6,0.8,0.3,1.2, 14.2
73,Jakob Poeltl,TOR,19,32.3,15.5,6.7,11.6,57.9,0.0,0.1,0.0,2.0,3.2,62.3,4.3,7.7,12.0,2.5,1.1,1.3,2.3, 23.9
74,Malik Beasley,DET,20,29.0,15.3,5.4,13.1,41.4,3.5,9.2,38.0,1.0,1.4,70.4,0.8,2.2,3.0,2.0,0.7,0.1,1.3, 11.6
75,Fred VanVleet,HOU,19,34.9,15.1,5.4,13.9,38.9,2.4,7.3,32.4,1.9,2.4,80.0,0.6,3.8,4.4,6.3,1.7,0.4,1.3, 17.7
76,Jordan Clarkson,UTA,13,26.0,15.0,5.2,13.4,39.1,1.7,6.2,27.5,2.8,3.5,80.4,0.8,3.1,3.8,3.8,0.8,0.1,2.0, 12.8
77,Jarrett Allen,CLE,19,29.8,14.9,6.0,8.6,69.5,0.0,0.0,0.0,2.9,3.9,74.7,2.5,8.5,11.0,1.8,0.9,1.1,1.0, 25.2
78,Payton Pritchard,BOS,18,27.3,14.8,4.9,10.4,47.3,3.5,8.2,42.6,1.4,1.7,86.7,0.8,1.8,2.6,2.9,1.1,0.1,1.0, 14.8
79,Dyson Daniels,ATL,17,33.8,14.2,5.9,13.3,44.7,1.3,4.1,31.4,1.1,1.6,66.7,1.6,3.4,5.0,3.0,3.1,1.0,1.8, 16.6
80,Tre Mann,CHA,13,24.5,14.1,5.4,12.4,43.5,1.8,4.6,40.0,1.5,1.6,90.5,0.9,2.0,2.9,3.0,0.5,0.3,1.9, 11.8
81,Josh Hart,NYK,18,37.2,14.0,5.4,9.0,59.9,1.3,3.4,37.7,1.9,2.3,85.4,1.7,6.6,8.3,5.7,1.3,0.4,1.8, 23.8
82,Tobias Harris,DET,19,33.2,13.8,5.4,12.2,44.4,1.4,4.3,31.7,1.6,2.0,78.9,1.1,6.1,7.2,2.4,0.7,0.9,1.3, 16.5
83,Naz Reid,MIN,18,24.7,13.7,4.9,10.1,48.9,2.0,5.2,38.7,1.8,2.0,88.9,0.8,4.3,5.1,1.5,0.7,0.6,1.3, 14.8
84,Jonathan Kuminga,GSW,16,23.0,13.6,5.1,11.6,43.8,1.1,3.7,30.5,2.4,3.9,60.3,1.2,3.1,4.3,1.9,1.1,0.4,1.5, 11.7
85,Klay Thompson,DAL,17,28.5,13.2,4.7,12.3,38.3,2.9,8.0,36.8,0.9,0.9,93.8,0.7,2.9,3.6,1.8,0.6,0.4,0.9, 11.1
86,Moritz Wagner,ORL,20,19.1,13.2,4.8,8.5,55.9,0.9,2.7,34.0,2.8,3.7,76.7,1.4,3.3,4.7,1.4,0.7,0.3,1.7, 13.9
87,Bilal Coulibaly,WAS,16,35.1,13.2,4.8,9.8,49.4,1.1,3.3,32.1,2.5,3.3,75.5,1.6,3.9,5.6,2.8,1.3,0.7,2.0, 15.7
88,Bobby Portis,MIL,17,23.8,13.0,5.5,12.1,45.6,1.0,3.1,32.1,0.9,1.3,72.7,1.9,5.6,7.5,1.3,0.4,0.6,1.3, 14.5
89,Keegan Murray,SAC,19,37.1,12.9,5.0,11.7,42.6,1.6,5.7,28.4,1.3,1.5,82.8,2.5,5.4,7.9,1.8,0.7,0.7,1.1, 15.9
90,Terry Rozier,MIA,14,30.5,12.8,4.5,11.3,39.9,2.0,5.8,34.6,1.8,2.1,86.2,0.6,3.3,3.9,3.2,0.7,0.4,1.8, 12.1
91,Kelly Oubre Jr.,PHI,17,30.8,12.6,4.9,11.6,42.4,1.1,4.4,24.3,1.7,2.2,76.3,1.5,3.5,5.0,1.4,1.1,0.5,1.5, 11.9
92,Santi Aldama,MEM,19,27.6,12.5,5.2,10.8,47.8,1.3,4.4,29.8,0.9,1.1,81.0,1.8,5.8,7.7,3.3,0.8,0.4,1.5, 17.4
93,Scotty Pippen Jr.,MEM,19,25.6,12.5,4.7,9.4,49.7,1.2,3.1,39.7,1.9,2.5,75.0,0.7,3.4,4.1,5.7,1.2,0.4,2.1, 16.4
94,Dillon Brooks,HOU,20,30.9,12.4,4.6,11.2,40.8,2.1,5.5,37.6,1.3,1.5,83.3,1.3,2.2,3.5,1.5,0.6,0.3,0.9, 10.4
95,Brook Lopez,MIL,18,32.7,12.3,4.6,9.6,47.7,1.9,5.3,36.5,1.3,1.7,74.2,1.2,4.0,5.2,1.8,1.3,2.3,1.2, 16.3
96,Ty Jerome,CLE,19,19.3,12.3,4.5,7.7,58.5,1.7,3.3,53.2,1.5,1.7,87.9,0.5,1.5,2.0,3.9,1.4,0.1,1.3, 14.9
97,Rui Hachimura,LAL,13,31.6,12.3,4.4,10.1,43.5,1.8,3.7,47.9,1.8,2.1,85.2,1.9,3.4,5.3,1.6,0.6,0.5,0.5, 13.8
98,Daniel Gafford,DAL,18,21.1,12.3,5.3,7.3,72.0,0.0,0.0,0.0,1.7,2.6,67.4,3.0,3.7,6.7,1.2,0.6,1.3,0.8, 18.3
99,Ochai Agbaji,TOR,19,31.1,12.2,4.8,8.9,53.5,1.9,4.1,46.2,0.7,1.1,70.0,0.9,3.5,4.5,2.0,1.2,0.6,1.1, 14.9
100,Jrue Holiday,BOS,17,30.7,12.2,4.3,9.4,45.9,1.8,5.2,34.8,1.8,1.9,90.9,0.9,3.2,4.1,3.9,0.7,0.3,1.5, 14.4
100,Russell Westbrook,DEN,17,24.6,12.2,4.0,10.2,39.1,1.4,3.8,37.5,2.8,4.1,68.1,0.9,3.2,4.1,5.9,1.5,0.6,2.6, 14.2
