#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1,Jaylen Brown,BOS,1,26.0,25.0,8.0,16.0,50.0,4.0,12.0,33.3,5.0,6.0,83.3,0.0,4.0,4.0,3.0,1.0,1.0,3.0, 22.0
2,Stephen Curry,GSW,4,22.8,24.5,8.5,17.0,50.0,4.3,10.5,40.5,3.3,4.0,81.3,0.0,4.5,4.5,2.5,2.5,0.0,2.8, 22.0
3,Julius Randle,NYK,3,32.7,23.3,8.0,16.3,49.0,2.3,6.0,38.9,5.0,6.7,75.0,1.7,8.3,10.0,3.0,1.0,0.3,2.0, 25.7
4,Zach LaVine,CHI,4,29.0,22.5,7.8,15.0,51.7,2.8,5.3,52.4,4.3,4.8,89.5,0.3,3.3,3.5,3.3,1.3,0.5,3.0, 20.3
5,Tyler Herro,MIA,5,27.0,22.4,8.2,16.0,51.3,2.6,5.8,44.8,3.4,3.8,89.5,0.2,4.6,4.8,3.2,0.8,0.2,2.4, 20.8
6,Jordan Poole,GSW,5,22.6,21.8,8.0,15.8,50.6,3.2,8.8,36.4,2.6,3.0,86.7,0.2,3.2,3.4,3.0,1.0,0.4,1.6, 19.8
7,Ja Morant,MEM,4,25.5,21.0,7.8,12.5,62.0,0.5,2.5,20.0,5.0,6.8,74.1,1.0,3.0,4.0,4.8,0.5,0.5,4.3, 20.0
8,Trae Young,ATL,2,23.5,20.5,7.5,18.5,40.5,3.0,8.5,35.3,2.5,2.5,100,0.0,1.5,1.5,9.0,0.5,0.0,3.0, 17.5
9,Jayson Tatum,BOS,3,28.3,20.3,6.7,16.7,40.0,2.0,7.3,27.3,5.0,6.0,83.3,1.0,7.7,8.7,3.3,1.7,0.0,4.7, 18.3
10,Kevin Durant,BKN,3,27.3,20.0,7.3,14.3,51.2,2.3,4.7,50.0,3.0,3.7,81.8,0.7,6.0,6.7,1.7,0.3,0.3,2.0, 19.3
11,Khris Middleton,MIL,2,21.0,19.5,7.5,10.0,75.0,2.5,3.0,83.3,2.0,2.0,100,0.5,3.5,4.0,2.5,1.0,0.5,2.0, 23.0
12,OG Anunoby,TOR,4,25.3,19.3,6.5,12.5,52.0,3.3,6.0,54.2,3.0,3.3,92.3,1.5,2.5,4.0,1.8,1.5,0.3,1.3, 19.3
13,LeBron James,LAL,3,24.3,18.7,7.7,16.0,47.9,1.0,4.0,25.0,2.3,2.7,87.5,0.0,5.0,5.0,4.0,1.3,0.7,3.7, 17.3
14,Jerami Grant,DET,4,28.5,18.5,5.8,13.0,44.2,1.5,4.5,33.3,5.5,6.8,81.5,0.3,3.5,3.8,2.8,0.3,0.8,2.3, 15.3
15,Giannis Antetokounmpo,MIL,3,21.3,18.3,7.3,10.7,68.8,1.3,2.0,66.7,2.3,4.0,58.3,1.3,7.0,8.3,4.3,1.3,0.0,1.7, 25.7
16,Jared Butler,UTA,3,24.0,18.0,7.3,15.0,48.9,2.0,6.0,33.3,1.3,2.0,66.7,0.0,1.3,1.3,4.3,1.3,0.0,2.7, 14.0
16,Jaren Jackson Jr.,MEM,4,27.0,18.0,6.5,14.0,46.4,3.5,7.3,48.3,1.5,2.0,75.0,2.0,5.3,7.3,1.3,0.8,1.3,1.3, 19.3
16,Michael Porter Jr.,DEN,3,24.0,18.0,7.0,14.3,48.8,3.0,6.7,45.0,1.0,1.3,75.0,1.0,4.7,5.7,2.3,0.0,0.0,1.7, 16.7
19,Jordan Nwora,MIL,5,23.8,17.8,7.0,15.8,44.3,2.8,6.8,41.2,1.0,1.2,83.3,0.0,5.0,5.0,2.6,1.0,0.0,1.8, 15.6
20,Trey Murphy III,NOP,4,29.5,17.5,5.5,12.8,43.1,4.3,8.0,53.1,2.3,2.5,90.0,1.5,5.0,6.5,1.8,0.3,0.0,1.3, 17.3
21,Anfernee Simons,POR,2,25.5,17.0,6.0,14.5,41.4,1.5,6.5,23.1,3.5,3.5,100,0.5,1.0,1.5,3.5,0.5,0.5,2.0, 12.5
21,Dejounte Murray,SAS,4,26.0,17.0,7.0,12.5,56.0,1.5,3.8,40.0,1.5,1.5,100,0.3,5.3,5.5,4.3,1.3,0.3,1.8, 21.0
21,Devin Booker,PHX,1,18.0,17.0,6.0,10.0,60.0,3.0,6.0,50.0,2.0,2.0,100,1.0,2.0,3.0,1.0,1.0,0.0,3.0, 15.0
21,Jimmy Butler,MIA,2,20.5,17.0,5.5,10.5,52.4,0.5,1.0,50.0,5.5,6.5,84.6,0.0,3.0,3.0,2.0,1.0,0.0,1.0, 16.0
25,DeMar DeRozan,CHI,4,29.3,16.8,6.5,15.3,42.6,0.8,2.0,37.5,3.0,3.5,85.7,0.5,4.0,4.5,2.5,0.3,0.5,2.3, 13.0
25,Isaiah Joe,PHI,4,24.5,16.8,5.3,8.8,60.0,4.0,6.8,59.3,2.3,2.5,90.0,0.3,2.0,2.3,2.0,1.8,0.8,0.3, 19.5
27,Nikola Jokić,DEN,3,24.0,16.3,6.0,10.7,56.3,1.7,3.7,45.5,2.7,3.0,88.9,2.0,8.3,10.3,5.7,1.0,1.7,1.7, 28.3
28,Derrick Rose,NYK,4,25.0,16.3,5.8,11.5,50.0,2.0,3.5,57.1,2.8,2.8,100,0.5,2.8,3.3,5.5,1.3,0.0,1.0, 19.5
28,Kevin Porter Jr.,HOU,4,29.0,16.3,5.3,14.5,36.2,2.5,6.5,38.5,3.3,5.0,65.0,0.8,2.0,2.8,4.3,1.3,0.3,3.0, 10.8
28,RJ Barrett,NYK,4,31.3,16.3,5.5,12.8,43.1,3.0,6.3,48.0,2.3,3.3,69.2,0.3,4.0,4.3,3.0,0.3,0.8,2.5, 13.8
31,Bam Adebayo,MIA,4,20.8,16.0,6.5,10.8,60.5,0.0,0.0,0.0,3.0,4.3,70.6,1.5,4.5,6.0,1.3,0.8,1.3,2.8, 17.0
